Site_N,Point,x,y
A04-17,3,121.5179361,25.15565833
A04-17,4,121.5173333,25.15794444
A04-17,5,121.5147778,25.15706667
A04-17,6,121.5122667,25.15628333
A04-17,7,121.5114333,25.15391111
A04-17,8,121.5130028,25.15208333
A04-17,9,121.5134389,25.150075
A04-18,1,121.4910028,25.15442222
A04-18,2,121.49182,25.15186
A04-18,3,121.4917278,25.14985
A04-18,4,121.4923389,25.14847222
A04-18,5,121.49309,25.14673
A04-18,6,121.4940694,25.14828611
A04-18,7,121.49456,25.15004
A04-18,8,121.49326,25.1519
A04-18,9,121.49266,25.14514
A04-18,10,121.49212,25.14341
A04-19,1,121.5347444,25.12917222
A04-19,2,121.5355778,25.13196111
A04-19,3,121.5358333,25.13319722
A04-19,4,121.5345111,25.13485278
A04-19,5,121.5355028,25.13705278
A04-19,6,121.5383861,25.13882778
A04-19,7,121.5406028,25.14013889
A04-19,8,121.5406639,25.1312
A04-19,9,121.5417861,25.13200833
A04-19,10,121.5396278,25.13042778
A04-20,1,121.520575,25.12999167
A04-20,3,121.5190389,25.12806389
A04-20,4,121.5193083,25.12602222
A04-20,5,121.5202444,25.12445833
A04-20,7,121.5171111,25.12456667
A04-20,8,121.5168111,25.12615
A04-20,9,121.5176111,25.1276
A04-20,10,121.5181389,25.13076667
A04-21,1,121.58775,25.08655556
A04-21,2,121.5818333,25.08997222
A04-21,3,121.5836389,25.08866667
A04-21,4,121.5798611,25.08891667
A04-21,5,121.5711667,25.08944444
A04-21,6,121.5743056,25.09205556
A04-21,7,121.57675,25.09263889
A04-21,8,121.5713333,25.09322222
A04-21,9,121.5697222,25.092
A04-21,10,121.5679722,25.08925
A04-22,1,121.6081333,25.07811944
A04-22,2,121.6111972,25.08005556
A04-22,3,121.6112028,25.08114722
A04-22,4,121.6133806,25.08066111
A04-22,5,121.6114278,25.08251111
A04-22,6,121.6116222,25.08399167
A04-22,7,121.6128083,25.08524167
A04-22,8,121.6102611,25.08458056
A04-22,9,121.6091,25.08585
A04-22,10,121.6076306,25.0849
A04-23,1,121.5767389,25.02979722
A04-23,2,121.5765444,25.0281
A04-23,4,121.5729556,25.02778889
A04-23,6,121.5758833,25.02663333
A04-23,8,121.5800972,25.02517222
A04-23,9,121.5806611,25.02908611
A04-24,1,121.598912,25.026424
A04-24,2,121.598403,25.027699
A04-24,3,121.597568,25.029111
A04-24,4,121.596089,25.030724
