,Site_N,Point,X_new,Y_new
236,A04-20,7,121.5171111,25.12456667
237,A04-20,8,121.5168111,25.12615
238,A04-20,9,121.5176111,25.1276
239,A04-20,10,121.5181389,25.13076667
240,A04-21,1,121.58775,25.08655556
241,A04-21,2,121.5818333,25.08997222
242,A04-21,3,121.5836389,25.08866667
243,A04-21,4,121.5798611,25.08891667
244,A04-21,5,121.5711667,25.08944444
245,A04-21,6,121.5743056,25.09205556
246,A04-21,7,121.57675,25.09263889
247,A04-21,8,121.5713333,25.09322222
248,A04-21,9,121.5697222,25.092
249,A04-21,10,121.5679722,25.08925
250,A04-22,1,121.6081333,25.07811944
251,A04-22,2,121.6111972,25.08005556
252,A04-22,3,121.6112028,25.08114722
253,A04-22,4,121.6133806,25.08066111
254,A04-22,5,121.6114278,25.08251111
255,A04-22,6,121.6116222,25.08399167
256,A04-22,7,121.6128083,25.08524167
257,A04-22,8,121.6102611,25.08458056
258,A04-22,9,121.6091,25.08585
259,A04-22,10,121.6076306,25.0849
264,A04-23,8,121.5800972,25.02517222
265,A04-23,9,121.5806611,25.02908611
270,A04-24,5,121.594572,25.032508
276,A04-25,1,121.5441278,24.99056667
277,A04-25,2,121.5460444,24.99193333
278,A04-25,3,121.5483472,24.99246667
279,A04-25,4,121.5505,24.99376667
280,A04-25,5,121.5525,24.99337222
281,A04-25,6,121.5545028,24.99145
282,A04-25,7,121.5548,24.9894
283,A04-26,1,121.5838472,24.97570833
285,A04-26,3,121.58645,24.97343889
286,A04-26,4,121.5867278,24.97273056
287,A04-26,5,121.5880083,24.97010278
288,A04-26,6,121.5888472,24.96697222
289,A04-26,7,121.5886472,24.96501667
290,A04-26,8,121.5899889,24.96428333
291,A04-26,9,121.5916972,24.96396667
292,A04-26,10,121.593175,24.96368056
303,A04-30,1,121.61465,25.09683333
304,A04-30,2,121.6176917,25.0945
305,A04-30,3,121.6206139,25.09168889
306,A04-30,4,121.6217917,25.09524167
307,A04-30,5,121.6224667,25.08744722
308,A04-30,6,121.6248306,25.08653333
309,A04-30,7,121.62456,25.08469
310,A04-30,8,121.62421,25.08131
311,A04-30,9,121.62385,25.07772
312,A04-31,1,121.531981,24.985492
314,A04-31,5,121.52969,24.982602
321,A04-32,2,121.686231,25.111322
322,A04-32,3,121.681,25.115661
323,A04-32,4,121.680902,25.121186
324,A04-32,5,121.67963,25.124388
326,A04-33,1,121.70986,25.12479
327,A04-33,2,121.712438,25.121311
328,A04-33,3,121.710446,25.116293
329,A04-33,4,121.7126778,25.11325833
330,A04-33,5,121.711799,25.106861
331,A04-33,6,121.7129833,25.10077222
340,A04-35,1,121.5788333,25.10567778
341,A04-35,2,121.577325,25.10544167
342,A04-35,3,121.57595,25.10399167
343,A04-35,4,121.5744556,25.10249167
344,A04-35,5,121.5729361,25.10212778
345,A04-35,6,121.571175,25.10098611
346,A04-35,7,121.5696528,25.09976389
347,A04-35,8,121.5678972,25.09920278
348,A04-35,9,121.5663639,25.09823333
349,A04-35,10,121.5647167,25.09774444
350,A04-36,1,121.5684944,25.10614167
351,A04-36,2,121.5673389,25.10494722
352,A04-36,4,121.5700333,25.10426111
353,A04-36,5,121.5714944,25.10524722
354,A04-36,8,121.5752139,25.105875
355,A04-36,11,121.5692056,25.10261667
356,A04-36,12,121.5733333,25.10623611
357,A04-37,1,121.5100833,25.22070278
358,A04-37,2,121.5062861,25.22361389
359,A04-37,3,121.5038306,25.22533056
360,A04-37,4,121.5010917,25.22757778
361,A04-37,5,121.4992194,25.22853333
362,A04-37,6,121.496675,25.23021944
363,A04-37,7,121.4950194,25.23314167
364,A04-37,8,121.4935972,25.23480833
367,A04-39,1,121.737061,24.954013
368,A04-39,2,121.736993,24.9559
369,A04-39,3,121.736288,24.957177
371,A04-39,5,121.731797,24.961379
372,A04-39,6,121.72977,24.96203
373,A04-39,7,121.727893,24.962752
376,A04-39,10,121.726093,24.968178
377,A04-41,1,121.5378389,24.93596944
378,A04-41,2,121.5367889,24.93388889
379,A04-41,3,121.5355167,24.93533611
380,A04-41,4,121.5348028,24.93699167
381,A04-41,5,121.5329972,24.93845278
382,A04-41,6,121.5312306,24.93529722
383,A04-41,7,121.5326306,24.93373056
384,A04-41,8,121.5333528,24.93185
385,A04-41,9,121.5340111,24.93034167
386,A04-41,10,121.5340611,24.92843611
390,A04-43,4,121.52364,25.04134
397,A04-44,1,121.55744,24.97881
413,A04-46,1,121.5762778,24.96991667
414,A04-46,2,121.5759722,24.96827778
415,A04-46,3,121.5774722,24.96808333
417,A04-46,5,121.5800278,24.97127778
418,A04-46,6,121.5794167,24.97325
419,A04-48,1,121.446186,25.205879
420,A04-48,2,121.443427,25.205716
421,A04-48,3,121.43981,25.2051
422,A04-48,4,121.43718,25.20718
423,A04-48,5,121.442184,25.207823
424,A04-48,6,121.445439,25.213266
425,A04-48,8,121.441839,25.211309
426,A04-48,9,121.438973,25.211742
427,A04-48,10,121.43569,25.21294
428,A04-48,11,121.43705,25.21002
429,A04-48,12,121.4332111,25.2148
430,A04-49,1,121.5691694,24.89228056
431,A04-49,2,121.568475,24.89440278
432,A04-49,3,121.5668694,24.89553611
433,A04-49,4,121.5652861,24.89712778
434,A04-49,5,121.567925,24.89727778
435,A04-49,6,121.5672806,24.8993
436,A04-49,7,121.5655694,24.90122222
437,A04-49,8,121.5620361,24.90156667
438,A04-49,9,121.5597611,24.90344167
439,A04-49,10,121.55675,24.90459167
440,A04-50,1,121.54719,24.95143
441,A04-50,2,121.5489194,24.95014167
443,A04-50,4,121.55362,24.95146
445,A04-50,6,121.5591,24.95419
446,A04-50,7,121.56217,24.9535
447,A04-50,8,121.5642806,24.95300833
448,A04-51,1,121.678943,24.98988
449,A04-51,2,121.673723,24.992003
450,A04-51,3,121.676966,24.992621
451,A04-51,4,121.679354,24.993341
452,A04-51,5,121.681329,24.994031
453,A04-51,6,121.684528,24.993713
454,A04-51,7,121.687677,24.995125
455,A04-51,8,121.681711,24.991093
459,A04-52,4,121.610603,25.04072
471,A04-54,2,121.53484,25.00443
472,A04-54,3,121.53523,25.00165
473,A04-54,4,121.53512,24.99858
474,A04-54,5,121.53535,24.99636
475,A04-54,6,121.5367,24.99469
482,A05-01,1,121.4540944,24.94486944
483,A05-01,2,121.4558222,24.94598611
484,A05-01,3,121.4577139,24.94681944
485,A05-01,4,121.4595611,24.94773333
486,A05-01,5,121.4620556,24.947375
487,A05-01,6,121.4635056,24.94885833
488,A05-04,2,121.5036472,24.92276389
489,A05-04,4,121.5018583,24.91789722
490,A05-04,5,121.5041472,24.91590556
491,A05-04,6,121.5020917,24.913625
492,A05-04,7,121.4985417,24.91286944
493,A05-04,8,121.4996389,24.91965
494,A05-05,1,121.6413889,24.83805556
496,A05-05,3,121.6441417,24.83550278
497,A05-05,4,121.6438889,24.8375
498,A05-05,5,121.6413889,24.83805556
499,A05-05,6,121.64,24.84
500,A05-05,7,121.6379583,24.84001944
501,A05-05,8,121.6372694,24.84165833
502,A05-09,1,121.5731028,24.84952778
503,A05-09,2,121.5785556,24.84973333
504,A05-09,3,121.5803889,24.85026667
508,A05-09,7,121.5870417,24.84691944
509,A05-09,8,121.5914917,24.84415833
511,A05-09,10,121.5826333,24.84996111
513,A05-10,2,121.6047222,24.84635278
514,A05-10,3,121.6028583,24.84756111
515,A05-10,4,121.6011861,24.84553611
516,A05-10,5,121.5979722,24.84841944
517,A05-10,6,121.5960778,24.84622222
518,A05-10,7,121.5929556,24.84601944
519,A05-10,8,121.5911694,24.84487222
520,A05-10,9,121.5880111,24.846825
521,A05-10,10,121.5833417,24.84495833
522,A05-14,1,121.5289306,24.88814444
523,A05-14,2,121.5314917,24.88891667
524,A05-14,3,121.5329722,24.89013889
525,A05-14,4,121.5329472,24.89175833
526,A05-14,5,121.5331889,24.89421111
527,A05-14,6,121.534975,24.89411111
528,A05-14,7,121.5394167,24.89716667
529,A05-14,8,121.5391667,24.90002778
530,A05-14,9,121.5439583,24.90213889
531,A05-14,10,121.5435111,24.90351389
