"Site_N","Year","BBS","Foresty"
"A09-12","2017","BBS",NA
"A09-12","2018","BBS",NA
"A09-12","2019","BBS",NA
"A09-12","2020","BBS",NA
"A09-12","2021","BBS",NA
"A09-12","2022","BBS",NA
"A09-13","2015","BBS",NA
"A09-13","2016","BBS",NA
"A09-13","2017","BBS",NA
"A09-13","2018","BBS",NA
"A09-13","2019","BBS",NA
"A09-13","2020","BBS",NA
"A09-13","2021","BBS",NA
"A09-13","2022","BBS",NA
"A09-14","2020","BBS",NA
"A09-14","2021","BBS",NA
"A09-14","2022","BBS",NA
"A09-15","2015","BBS",NA
"A09-15","2016","BBS",NA
"A09-15","2017","BBS",NA
"A09-15","2018","BBS",NA
"A09-15","2019","BBS",NA
"A09-15","2020","BBS",NA
"A09-15","2021","BBS",NA
"A09-15","2022","BBS",NA
"A09-16","2015","BBS",NA
"A09-16","2016","BBS",NA
"A09-16","2017","BBS",NA
"A09-16","2021","BBS",NA
"A09-16","2022","BBS",NA
"A09-17","2016","BBS",NA
"A09-17","2017","BBS",NA
"A09-17","2018","BBS",NA
"A09-17","2019","BBS",NA
"A09-17","2020","BBS",NA
"A09-17","2021","BBS",NA
"A09-17","2022","BBS",NA
"A09-18","2015","BBS",NA
"A09-18","2016","BBS",NA
"A09-18","2020","BBS",NA
"A09-18","2021","BBS",NA
"A09-18","2022","BBS",NA
"A09-19","2015","BBS",NA
"A09-19","2020","BBS",NA
"A09-19","2021","BBS",NA
"A09-19","2022","BBS",NA
"A09-20","2015","BBS",NA
"A09-20","2016","BBS",NA
"A09-20","2017","BBS",NA
"A09-20","2018","BBS",NA
"A09-20","2019","BBS",NA
"A09-20","2020","BBS",NA
"A09-20","2021","BBS",NA
"A09-20","2022","BBS",NA
"A09-22","2015","BBS",NA
"A09-22","2016","BBS",NA
"A09-23","2021","BBS",NA
"A09-23","2022","BBS",NA
"A09-24","2016","BBS",NA
"A09-24","2017","BBS",NA
"A09-24","2018","BBS",NA
"A09-24","2019","BBS",NA
"A09-24","2020","BBS",NA
"A09-24","2021","BBS",NA
"A09-24","2022","BBS",NA
"A09-26","2016","BBS",NA
"A09-26","2019","BBS",NA
"A09-26","2020","BBS",NA
"A09-26","2021","BBS",NA
"A09-26","2022","BBS",NA
"A09-27","2022","BBS",NA
"A10-01","2015","BBS",NA
"A10-01","2016","BBS",NA
"A10-01","2017","BBS",NA
"A10-01","2018","BBS",NA
"A10-01","2019","BBS",NA
"A10-01","2020","BBS",NA
