"Site_N","Year","BBS","Foresty"
"A29-08","2016","BBS",NA
"A29-08","2017","BBS",NA
"A29-08","2018","BBS",NA
"A29-08","2019","BBS",NA
"A29-08","2020","BBS",NA
"A29-08","2021","BBS",NA
"A29-08","2022","BBS",NA
"A29-10","2017","BBS",NA
"A29-10","2018","BBS",NA
"A29-10","2021","BBS",NA
"A29-10","2022","BBS",NA
"A29-11","2015","BBS",NA
"A29-11","2019","BBS",NA
"A29-11","2020","BBS",NA
"A29-11","2021","BBS",NA
"A29-11","2022","BBS",NA
"A29-12","2017","BBS",NA
"A29-12","2018","BBS",NA
"A29-12","2019","BBS",NA
"A29-12","2020","BBS",NA
"A29-12","2021","BBS",NA
"A29-13","2017","BBS",NA
"A29-13","2018","BBS",NA
"A29-13","2019","BBS",NA
"A29-13","2020","BBS",NA
"A29-13","2021","BBS",NA
"A29-13","2022","BBS",NA
"A29-14","2018","BBS",NA
"A29-14","2020","BBS",NA
"A29-14","2021","BBS",NA
"A29-14","2022","BBS",NA
"A29-15","2020","BBS",NA
"A29-15","2021","BBS",NA
"A29-15","2022","BBS",NA
"A30-01","2020",NA,"Foresty"
"A30-01","2021",NA,"Foresty"
"A30-01","2022",NA,"Foresty"
"A30-03","2015","BBS",NA
"A30-03","2016","BBS",NA
"A30-03","2017","BBS",NA
"A30-03","2018","BBS",NA
"A30-03","2019","BBS",NA
"A30-03","2020","BBS",NA
"A30-03","2021","BBS",NA
"A30-03","2022","BBS",NA
"A32-01","2015","BBS",NA
"A32-01","2016","BBS",NA
"A32-01","2017","BBS",NA
"A32-01","2018","BBS",NA
"A32-01","2019","BBS",NA
"A32-01","2020","BBS",NA
"A32-01","2021","BBS",NA
"A32-01","2022","BBS",NA
"A32-02","2015","BBS",NA
"A32-02","2016","BBS",NA
"A32-02","2017","BBS",NA
"A32-02","2018","BBS",NA
"A32-02","2019","BBS",NA
"A32-02","2020","BBS",NA
"A32-02","2021","BBS",NA
"A32-02","2022","BBS",NA
"A32-03","2015","BBS",NA
"A32-03","2016","BBS",NA
"A32-03","2017","BBS",NA
"A32-03","2018","BBS",NA
"A32-03","2019","BBS",NA
"A32-03","2020","BBS",NA
"A32-03","2021","BBS",NA
"A32-03","2022","BBS",NA
"A32-04","2015","BBS",NA
"A32-04","2016","BBS",NA
"A32-04","2017","BBS",NA
"A32-04","2018","BBS",NA
"A32-04","2019","BBS",NA
"A32-04","2020","BBS",NA
"A32-04","2021","BBS",NA
"A32-04","2022","BBS",NA
"A32-05","2018","BBS",NA
"A32-05","2019","BBS",NA
"A32-05","2020","BBS",NA
"A32-05","2021","BBS",NA
"A32-05","2022","BBS",NA
"A32-06","2015","BBS",NA
"A32-06","2016","BBS",NA
"A32-06","2017","BBS",NA
"A32-06","2018","BBS",NA
"A32-06","2019","BBS",NA
"A32-06","2020","BBS",NA
"A32-06","2021","BBS",NA
"A32-06","2022","BBS",NA
"A32-07","2015","BBS",NA
"A32-07","2016","BBS",NA
"A32-07","2017","BBS",NA
"A32-07","2018","BBS",NA
"A32-07","2019","BBS",NA
"A32-07","2020","BBS",NA
"A32-07","2021","BBS",NA
"A32-07","2022","BBS",NA
"A33-01","2015","BBS",NA
"A33-01","2016","BBS",NA
"A33-01","2017","BBS",NA
"A33-01","2018","BBS",NA
"A33-01","2019","BBS",NA
"A33-01","2020","BBS",NA
"A33-01","2021","BBS",NA
"A33-01","2022","BBS",NA
"A33-02","2015","BBS",NA
"A33-02","2016","BBS",NA
"A33-02","2017","BBS",NA
"A33-02","2018","BBS",NA
"A33-02","2019","BBS",NA
"A33-02","2020","BBS",NA
"A33-02","2021","BBS",NA
"A33-02","2022","BBS",NA
"A33-03","2015","BBS",NA
"A33-03","2016","BBS",NA
"A33-03","2017","BBS",NA
"A33-03","2018","BBS",NA
"A33-03","2019","BBS",NA
"A33-03","2020","BBS",NA
"A33-03","2021","BBS",NA
"A33-03","2022","BBS",NA
"A33-04","2016","BBS",NA
"A33-04","2017","BBS",NA
"A33-05","2015","BBS",NA
"A33-05","2020","BBS",NA
"A33-05","2021","BBS",NA
"A33-05","2022","BBS",NA
"A33-06","2015","BBS",NA
"A33-06","2016","BBS",NA
"A33-06","2017","BBS",NA
"A33-06","2018","BBS",NA
"A33-06","2019","BBS",NA
"A33-06","2020","BBS",NA
"A33-06","2021","BBS",NA
"A33-06","2022","BBS",NA
"A33-07","2015","BBS",NA
"A33-07","2016","BBS",NA
"A33-07","2017","BBS",NA
"A33-07","2018","BBS",NA
"A33-07","2019","BBS",NA
"A33-07","2020","BBS",NA
"A33-07","2021","BBS",NA
"A33-07","2022","BBS",NA
"A33-08","2015","BBS",NA
"A33-08","2016","BBS",NA
"A33-08","2017","BBS",NA
"A33-08","2018","BBS",NA
"A33-08","2019","BBS",NA
"A33-08","2020","BBS",NA
"A33-08","2021","BBS",NA
"A33-08","2022","BBS",NA
"A33-09","2015","BBS",NA
"A33-09","2016","BBS",NA
"A33-09","2017","BBS",NA
"A33-09","2018","BBS",NA
"A33-09","2019","BBS",NA
"A33-09","2020","BBS",NA
"A33-09","2021","BBS",NA
"A33-09","2022","BBS",NA
"A33-10","2015","BBS",NA
"A33-10","2016","BBS",NA
"A33-10","2017","BBS",NA
"A33-10","2018","BBS",NA
"A33-10","2019","BBS",NA
"A33-10","2020","BBS",NA
"A33-10","2021","BBS",NA
"A33-10","2022","BBS",NA
"A33-11","2015","BBS",NA
"A33-11","2016","BBS",NA
"A33-11","2017","BBS",NA
"A33-11","2018","BBS",NA
"A33-11","2019","BBS",NA
"A33-11","2020","BBS",NA
"A33-11","2021","BBS",NA
"A33-11","2022","BBS",NA
"A33-12","2015","BBS",NA
"A33-12","2016","BBS",NA
"A33-12","2017","BBS",NA
"A33-12","2018","BBS",NA
"A33-12","2019","BBS",NA
"A33-12","2020","BBS",NA
"A33-12","2021","BBS",NA
"A33-13","2015","BBS",NA
"A33-13","2016","BBS",NA
"A33-13","2017","BBS",NA
"A33-13","2018","BBS",NA
"A33-13","2019","BBS",NA
"A33-13","2020","BBS",NA
"A33-13","2021","BBS",NA
"A33-13","2022","BBS",NA
"A33-14","2015","BBS",NA
"A33-14","2016","BBS",NA
"A33-14","2017","BBS",NA
"A33-14","2018","BBS",NA
"A33-14","2019","BBS",NA
"A33-14","2020","BBS",NA
"A33-14","2021","BBS",NA
"A33-14","2022","BBS",NA
"A33-15","2015","BBS",NA
"A33-15","2016","BBS",NA
"A33-15","2017","BBS",NA
"A33-15","2018","BBS",NA
"A33-15","2019","BBS",NA
"A33-15","2020","BBS",NA
"A33-15","2021","BBS",NA
"A33-15","2022","BBS",NA
"A33-16","2015","BBS",NA
"A33-16","2016","BBS",NA
"A33-16","2017","BBS",NA
"A33-16","2018","BBS",NA
"A33-16","2019","BBS",NA
"A33-16","2020","BBS",NA
"A33-16","2021","BBS",NA
"A33-16","2022","BBS",NA
"A33-17","2021","BBS",NA
"A33-17","2022","BBS",NA
"A33-18","2015","BBS",NA
"A33-18","2016","BBS",NA
"A33-18","2017","BBS",NA
"A33-18","2018","BBS",NA
"A33-18","2019","BBS",NA
"A33-18","2020","BBS",NA
"A33-18","2022","BBS",NA
"A33-23","2017","BBS",NA
"A34-01","2015","BBS",NA
"A34-01","2020","BBS",NA
"A34-01","2021","BBS",NA
"A34-01","2022","BBS",NA
"A34-02","2015","BBS",NA
"A34-02","2016","BBS",NA
"A34-02","2017","BBS",NA
"A34-02","2018","BBS",NA
"A34-02","2019","BBS",NA
"A34-02","2020","BBS",NA
"A34-02","2021","BBS",NA
"A34-03","2016","BBS",NA
"A34-03","2017","BBS",NA
"A34-03","2018","BBS",NA
"A34-03","2019","BBS",NA
"A34-03","2020","BBS",NA
"A34-03","2021","BBS",NA
"A34-03","2022","BBS",NA
"A34-04","2015","BBS",NA
"A34-04","2016","BBS",NA
"A34-04","2017","BBS",NA
"A34-04","2018","BBS",NA
"A34-04","2019","BBS",NA
"A34-04","2020","BBS",NA
"A34-04","2021","BBS",NA
"A34-04","2022","BBS",NA
"A34-05","2015","BBS",NA
"A34-05","2016","BBS",NA
"A34-05","2017","BBS",NA
"A34-05","2018","BBS",NA
"A34-05","2019","BBS",NA
"A34-05","2020","BBS",NA
"A34-05","2021","BBS",NA
"A34-05","2022","BBS",NA
"A34-06","2015","BBS",NA
"A34-06","2016","BBS",NA
"A34-06","2017","BBS",NA
"A34-06","2018","BBS",NA
"A34-06","2019","BBS",NA
"A34-06","2020","BBS",NA
"A34-06","2021","BBS",NA
"A34-06","2022","BBS",NA
"A34-07","2015","BBS",NA
"A34-07","2016","BBS",NA
"A34-07","2017","BBS",NA
"A34-07","2018","BBS",NA
"A34-07","2019","BBS",NA
"A34-07","2020","BBS",NA
"A34-07","2021","BBS",NA
"A34-07","2022","BBS",NA
"A34-08","2015","BBS",NA
"A34-08","2016","BBS",NA
"A34-08","2017","BBS",NA
"A34-08","2018","BBS",NA
"A34-08","2019","BBS",NA
"A34-08","2020","BBS",NA
"A34-08","2021","BBS",NA
"A34-08","2022","BBS",NA
"A34-17","2015","BBS",NA
"A34-17","2016","BBS",NA
"A34-17","2017","BBS",NA
"A34-17","2018","BBS",NA
"A34-17","2019","BBS",NA
"A34-17","2020","BBS",NA
"A34-17","2021","BBS",NA
"A34-17","2022","BBS",NA
"A34-20","2022","BBS",NA
"A34-21","2015","BBS",NA
"A34-21","2016","BBS",NA
"A34-22","2016","BBS",NA
"A34-22","2017","BBS",NA
"A34-22","2018","BBS",NA
"A34-22","2019","BBS",NA
"A34-22","2020","BBS",NA
"A34-22","2021","BBS",NA
"A34-22","2022","BBS",NA
"A34-23","2015","BBS",NA
"A34-23","2016","BBS",NA
"A34-23","2017","BBS",NA
"A34-23","2018","BBS",NA
"A34-23","2019","BBS",NA
"A34-23","2020","BBS",NA
"A34-23","2021","BBS",NA
"A34-23","2022","BBS",NA
"A34-24","2016","BBS",NA
"A34-24","2018","BBS",NA
"A34-24","2019","BBS",NA
"A34-24","2020","BBS",NA
"A34-24","2021","BBS",NA
"A34-24","2022","BBS",NA
"A34-25","2016","BBS",NA
"A34-25","2017","BBS",NA
"A34-25","2018","BBS",NA
"A34-25","2019","BBS",NA
"A34-25","2020","BBS",NA
"A34-25","2021","BBS",NA
"A34-25","2022","BBS",NA
"A34-26","2016","BBS",NA
"A34-26","2019","BBS",NA
"A34-26","2020","BBS",NA
"A34-26","2021","BBS",NA
"A34-26","2022","BBS",NA
"A34-27","2015","BBS",NA
"A34-27","2016","BBS",NA
"A34-27","2017","BBS",NA
"A34-27","2018","BBS",NA
"A34-28","2022","BBS",NA
"A34-31","2015","BBS",NA
"A34-31","2016","BBS",NA
"A34-31","2017","BBS",NA
"A34-31","2018","BBS",NA
"A34-31","2019","BBS",NA
"A34-31","2020","BBS",NA
"A34-31","2021","BBS",NA
"A34-31","2022","BBS",NA
"A34-32","2019","BBS",NA
"A34-32","2020","BBS",NA
"A34-32","2021","BBS",NA
"A34-32","2022","BBS",NA
"A34-33","2015","BBS",NA
"A34-33","2016","BBS",NA
"A34-33","2017","BBS",NA
"A34-33","2018","BBS",NA
"A34-33","2019","BBS",NA
"A34-33","2020","BBS",NA
"A34-33","2021","BBS",NA
"A34-33","2022","BBS",NA
"A34-34","2015","BBS",NA
"A34-34","2019","BBS",NA
"A34-34","2020","BBS",NA
"A34-34","2021","BBS",NA
"A34-34","2022","BBS",NA
"A34-35","2015","BBS",NA
"A34-35","2016","BBS",NA
"A34-35","2017","BBS",NA
"A34-35","2018","BBS",NA
"A34-37","2021","BBS",NA
"A35-01","2019","BBS",NA
"A35-01","2020","BBS",NA
"A35-01","2021","BBS",NA
"A35-01","2022","BBS",NA
"A35-03","2015","BBS",NA
"A35-03","2016","BBS",NA
"A35-03","2017","BBS",NA
"A35-03","2018","BBS",NA
"A35-03","2019","BBS",NA
"A35-03","2020","BBS",NA
"A35-03","2021","BBS",NA
"A35-03","2022","BBS",NA
"A35-04","2015","BBS",NA
"A35-04","2016","BBS",NA
"A35-04","2017","BBS",NA
"A35-04","2018","BBS",NA
"A35-04","2019","BBS",NA
"A35-04","2020","BBS",NA
"A35-04","2021","BBS",NA
"A35-05","2015","BBS",NA
"A35-05","2016","BBS",NA
"A35-05","2017","BBS",NA
"A35-05","2018","BBS",NA
"A35-05","2019","BBS",NA
"A35-05","2020","BBS",NA
"A35-05","2021","BBS",NA
"A35-05","2022","BBS",NA
"A35-06","2015","BBS",NA
"A35-06","2016","BBS",NA
"A35-06","2017","BBS",NA
"A35-06","2018","BBS",NA
"A35-06","2019","BBS",NA
"A35-06","2020","BBS",NA
"A35-06","2021","BBS",NA
"A35-07","2015","BBS",NA
"A35-07","2016","BBS",NA
"A35-07","2017","BBS",NA
"A35-07","2022","BBS",NA
"A35-08","2015","BBS",NA
"A35-09","2015","BBS",NA
"A35-10","2015","BBS",NA
"A35-10","2016","BBS",NA
"A35-11","2020",NA,"Foresty"
"A35-11","2021",NA,"Foresty"
"A35-11","2022",NA,"Foresty"
"A35-12","2015","BBS",NA
"A35-12","2016","BBS",NA
"A35-13","2015","BBS",NA
"A35-13","2016","BBS",NA
"A36-01","2015","BBS",NA
"A36-01","2016","BBS",NA
"A36-01","2017","BBS",NA
"A36-01","2018","BBS",NA
"A36-01","2019","BBS",NA
"A36-01","2020","BBS",NA
"A36-01","2021","BBS",NA
"A36-01","2022","BBS",NA
"A36-02","2015","BBS",NA
"A36-02","2016","BBS",NA
"A36-02","2017","BBS",NA
"A36-02","2018","BBS",NA
"A36-02","2019","BBS",NA
"A36-02","2020","BBS",NA
"A36-02","2021","BBS",NA
"A36-02","2022","BBS",NA
"A36-03","2015","BBS",NA
"A36-03","2016","BBS",NA
"A36-03","2017","BBS",NA
"A36-03","2018","BBS",NA
"A36-03","2019","BBS",NA
"A36-03","2020","BBS",NA
"A36-03","2021","BBS",NA
"A36-03","2022","BBS",NA
"A36-04","2016","BBS",NA
"A36-04","2017","BBS",NA
"A36-04","2018","BBS",NA
"A36-04","2019","BBS",NA
"A36-04","2020","BBS",NA
"A36-04","2021","BBS",NA
"A36-04","2022","BBS",NA
"A36-05","2015","BBS",NA
"A36-05","2017","BBS",NA
"A36-05","2018","BBS",NA
"A36-05","2019","BBS",NA
"A36-05","2020","BBS",NA
"A36-05","2021","BBS",NA
"A36-05","2022","BBS",NA
"A36-06","2020",NA,"Foresty"
"A36-06","2021",NA,"Foresty"
"A36-06","2022",NA,"Foresty"
"A36-08","2020",NA,"Foresty"
"A36-08","2021",NA,"Foresty"
"A36-08","2022",NA,"Foresty"
"A36-09","2016","BBS",NA
"A36-09","2017","BBS",NA
"A36-09","2018","BBS",NA
"A36-09","2020","BBS",NA
"A36-09","2022","BBS",NA
"A36-14","2015","BBS",NA
"A36-15","2015","BBS",NA
"A36-15","2016","BBS",NA
"A36-15","2017","BBS",NA
"A36-15","2018","BBS",NA
"A36-15","2019","BBS",NA
"A36-15","2020","BBS",NA
"A36-15","2021","BBS",NA
"A36-16","2015","BBS",NA
"A36-16","2016","BBS",NA
"A36-16","2017","BBS",NA
"A36-16","2018","BBS",NA
"A36-16","2019","BBS",NA
"A36-16","2020","BBS",NA
"A36-16","2021","BBS",NA
"A36-16","2022","BBS",NA
"A37-01","2015","BBS",NA
"A37-01","2016","BBS",NA
"A37-01","2017","BBS",NA
"A37-01","2018","BBS",NA
"A37-01","2019","BBS",NA
"A37-01","2020","BBS",NA
"A37-01","2021","BBS",NA
"A37-01","2022","BBS",NA
"A37-02","2015","BBS",NA
"A37-02","2016","BBS",NA
"A37-02","2017","BBS",NA
"A37-02","2018","BBS",NA
"A37-02","2019","BBS",NA
"A37-02","2020","BBS",NA
"A37-02","2021","BBS",NA
"A37-02","2022","BBS",NA
"A37-03","2015","BBS",NA
"A37-03","2016","BBS",NA
"A37-03","2018","BBS",NA
"A37-03","2019","BBS",NA
"A37-03","2020","BBS",NA
"A37-03","2022","BBS",NA
"A37-04","2015","BBS",NA
"A37-04","2016","BBS",NA
"A37-04","2017","BBS",NA
"A37-04","2018","BBS",NA
"A37-04","2019","BBS",NA
"A37-04","2020","BBS",NA
"A37-04","2021","BBS",NA
"A37-04","2022","BBS",NA
"A37-05","2021","BBS",NA
"A37-07","2015","BBS",NA
"A37-07","2016","BBS",NA
"A37-07","2017","BBS",NA
"A37-07","2018","BBS",NA
"A37-07","2019","BBS",NA
"A37-07","2020","BBS",NA
"A37-07","2021","BBS",NA
"A37-07","2022","BBS",NA
"A37-08","2015","BBS",NA
"A37-08","2016","BBS",NA
"A37-08","2017","BBS",NA
"A37-08","2018","BBS",NA
"A37-08","2019","BBS",NA
"A37-08","2020","BBS",NA
"A37-08","2021","BBS",NA
"A37-08","2022","BBS",NA
"A37-09","2015","BBS",NA
"A37-09","2016","BBS",NA
"A37-09","2017","BBS",NA
"A37-09","2018","BBS",NA
"A37-09","2019","BBS",NA
"A37-09","2020","BBS",NA
"A37-09","2021","BBS",NA
"A38-02","2020",NA,"Foresty"
"A38-02","2021",NA,"Foresty"
"A38-02","2022",NA,"Foresty"
"A38-04","2021",NA,"Foresty"
"A38-04","2022",NA,"Foresty"
"A39-01","2015","BBS",NA
"A39-01","2016","BBS",NA
"A39-01","2017","BBS",NA
"A39-01","2018","BBS",NA
"A39-01","2019","BBS",NA
"A39-01","2020","BBS",NA
"A39-01","2021","BBS",NA
"A39-01","2022","BBS",NA
"A39-03","2016","BBS",NA
"A39-03","2017","BBS",NA
"A39-03","2018","BBS",NA
"A39-04","2016","BBS",NA
"A39-04","2017","BBS",NA
"A39-04","2018","BBS",NA
"A39-04","2019","BBS",NA
"A39-04","2020","BBS",NA
"A39-04","2022","BBS",NA
"A39-07","2015","BBS",NA
"A39-07","2016","BBS",NA
"A39-07","2017","BBS",NA
"A39-07","2018","BBS",NA
"A40-01","2018","BBS",NA
"A40-01","2019","BBS",NA
"A40-01","2020","BBS",NA
"A40-01","2021","BBS",NA
"A40-01","2022","BBS",NA
"A40-02","2018","BBS",NA
"A40-02","2020","BBS",NA
"A40-02","2021","BBS",NA
"A40-02","2022","BBS",NA
"A40-03","2018","BBS",NA
"A40-03","2021","BBS",NA
"A40-03","2022","BBS",NA
"A40-05","2017","BBS",NA
"A40-05","2018","BBS",NA
"A40-05","2019","BBS",NA
"A40-05","2020","BBS",NA
"A40-05","2021","BBS",NA
"A40-05","2022","BBS",NA
"A40-06","2017","BBS",NA
"A40-06","2018","BBS",NA
"A40-06","2019","BBS",NA
"A40-06","2020","BBS",NA
"A40-06","2021","BBS",NA
"A40-06","2022","BBS",NA
"A40-09","2021","BBS",NA
"A40-10","2015","BBS",NA
"A40-10","2016","BBS",NA
"A40-10","2017","BBS",NA
"A40-10","2020","BBS",NA
"A40-10","2021","BBS",NA
"A40-10","2022","BBS",NA
"A40-11","2015","BBS",NA
"A40-11","2016","BBS",NA
"A40-11","2017","BBS",NA
"A40-11","2019","BBS",NA
"A40-11","2020","BBS",NA
"A40-11","2021","BBS",NA
"A40-11","2022","BBS",NA
"A40-12","2015","BBS",NA
"A40-12","2016","BBS",NA
"A40-12","2017","BBS",NA
"A40-12","2018","BBS",NA
"A40-12","2019","BBS",NA
"A40-12","2020","BBS",NA
"A40-12","2021","BBS",NA
"A40-12","2022","BBS",NA
"A41-01","2015","BBS",NA
"A41-01","2016","BBS",NA
"A41-01","2017","BBS",NA
"A41-01","2018","BBS",NA
"A41-01","2019","BBS",NA
"A41-01","2020","BBS",NA
"A41-01","2021","BBS",NA
"A41-01","2022","BBS",NA
"A41-02","2015","BBS",NA
"A41-02","2016","BBS",NA
"A41-02","2017","BBS",NA
"A41-02","2018","BBS",NA
"A41-02","2019","BBS",NA
"A41-02","2020","BBS",NA
"A41-02","2021","BBS",NA
"A41-02","2022","BBS",NA
"A41-05","2020","BBS",NA
"B06-01","2015","BBS",NA
"B06-01","2016","BBS",NA
"B06-01","2020","BBS",NA
"B06-01","2021","BBS",NA
"B06-01","2022","BBS",NA
"B06-02","2020",NA,"Foresty"
"B06-02","2021",NA,"Foresty"
"B06-02","2022","BBS",NA
"B10-01","2015","BBS",NA
"B10-01","2016","BBS",NA
"B10-01","2017","BBS",NA
"B10-01","2018","BBS",NA
"B10-01","2019","BBS",NA
"B10-01","2020","BBS",NA
"B10-01","2021","BBS",NA
"B10-01","2022","BBS",NA
"B10-02","2015","BBS",NA
"B10-02","2016","BBS",NA
"B10-02","2017","BBS",NA
"B10-02","2018","BBS",NA
"B10-02","2019","BBS",NA
"B10-02","2020","BBS",NA
"B10-02","2021","BBS",NA
"B10-02","2022","BBS",NA
"B10-03","2018","BBS",NA
"B11-01","2015","BBS",NA
"B11-01","2016","BBS",NA
"B11-01","2017","BBS",NA
"B11-01","2018","BBS",NA
"B11-01","2019","BBS",NA
"B11-01","2020","BBS",NA
"B11-01","2021","BBS",NA
"B11-01","2022","BBS",NA
"B13-01","2015","BBS",NA
"B13-01","2018","BBS",NA
"B13-01","2019","BBS",NA
"B13-01","2020","BBS",NA
"B13-01","2021","BBS",NA
"B13-01","2022","BBS",NA
"B13-02","2015","BBS",NA
"B13-02","2016","BBS",NA
"B13-02","2018","BBS",NA
"B13-02","2019","BBS",NA
"B13-02","2020","BBS",NA
"B13-02","2021","BBS",NA
"B13-02","2022","BBS",NA
"B13-03","2015","BBS",NA
"B13-03","2016","BBS",NA
"B13-03","2018","BBS",NA
"B13-03","2019","BBS",NA
"B13-03","2020","BBS",NA
"B13-03","2021","BBS",NA
"B13-03","2022","BBS",NA
"B14-01","2015","BBS",NA
"B14-01","2016","BBS",NA
"B14-01","2017","BBS",NA
"B14-01","2018","BBS",NA
"B14-01","2019","BBS",NA
"B14-01","2020","BBS",NA
"B14-01","2021","BBS",NA
"B14-01","2022","BBS",NA
"B14-02","2015","BBS",NA
"B14-02","2016","BBS",NA
"B14-02","2017","BBS",NA
"B14-02","2018","BBS",NA
"B14-02","2019","BBS",NA
"B14-02","2020","BBS",NA
"B14-02","2021","BBS",NA
"B14-02","2022","BBS",NA
"B14-03","2015","BBS",NA
"B14-03","2016","BBS",NA
"B14-03","2017","BBS",NA
"B14-03","2018","BBS",NA
"B14-03","2019","BBS",NA
"B14-03","2020","BBS",NA
"B14-03","2021","BBS",NA
"B14-03","2022","BBS",NA
"B14-04","2015","BBS",NA
"B14-04","2016","BBS",NA
"B14-04","2017","BBS",NA
"B14-04","2018","BBS",NA
"B14-04","2019","BBS",NA
"B14-04","2020","BBS",NA
"B14-04","2021","BBS",NA
"B14-04","2022","BBS",NA
"B14-05","2020",NA,"Foresty"
"B14-05","2021",NA,"Foresty"
"B14-05","2022","BBS",NA
"B15-01","2020",NA,"Foresty"
"B15-01","2021",NA,"Foresty"
"B15-01","2022",NA,"Foresty"
"B16-01","2015","BBS",NA
"B16-01","2020",NA,"Foresty"
"B16-01","2021",NA,"Foresty"
"B16-01","2022",NA,"Foresty"
"B16-02","2015","BBS",NA
"B16-02","2020",NA,"Foresty"
"B16-02","2021",NA,"Foresty"
"B16-02","2022",NA,"Foresty"
"B17-01","2020",NA,"Foresty"
"B17-01","2021",NA,"Foresty"
"B17-01","2022","BBS",NA
"B17-02","2020",NA,"Foresty"
"B17-02","2021",NA,"Foresty"
"B17-02","2022",NA,"Foresty"
"B19-02","2020",NA,"Foresty"
"B19-02","2021",NA,"Foresty"
"B19-02","2022",NA,"Foresty"
"B21-01","2015","BBS",NA
"B21-01","2016","BBS",NA
"B21-01","2017","BBS",NA
"B21-01","2018","BBS",NA
"B21-01","2019","BBS",NA
"B21-01","2020","BBS",NA
"B21-01","2021","BBS",NA
"B21-01","2022","BBS",NA
"B21-02","2020",NA,"Foresty"
"B21-02","2021",NA,"Foresty"
"B21-02","2022",NA,"Foresty"
"B22-01","2020",NA,"Foresty"
"B22-01","2021",NA,"Foresty"
"B22-01","2022",NA,"Foresty"
"B28-01","2015","BBS",NA
"B28-01","2016","BBS",NA
"B28-01","2017","BBS",NA
"B28-01","2018","BBS",NA
"B28-01","2019","BBS",NA
"B28-01","2020","BBS",NA
"B28-01","2021","BBS",NA
"B28-01","2022","BBS",NA
"B28-02","2020",NA,"Foresty"
"B28-02","2021",NA,"Foresty"
"B28-02","2022",NA,"Foresty"
"B28-04","2017","BBS",NA
"B28-04","2018","BBS",NA
"B28-04","2020",NA,"Foresty"
"B28-04","2021",NA,"Foresty"
"B28-04","2022","BBS",NA
"B29-01","2020","BBS",NA
"B29-01","2021","BBS","Foresty"
"B29-01","2022","BBS",NA
"B29-02","2015","BBS",NA
"B29-02","2016","BBS",NA
"B29-02","2017","BBS",NA
"B29-02","2018","BBS",NA
"B29-02","2019","BBS",NA
"B29-02","2020","BBS",NA
"B29-02","2021","BBS",NA
"B29-03","2020",NA,"Foresty"
"B29-03","2021",NA,"Foresty"
"B29-03","2022",NA,"Foresty"
"B30-01","2015","BBS",NA
"B30-01","2016","BBS",NA
"B30-01","2017","BBS",NA
"B30-01","2018","BBS",NA
"B30-01","2019","BBS",NA
"B30-01","2020","BBS",NA
"B30-01","2021","BBS",NA
"B30-01","2022","BBS",NA
"B30-02","2015","BBS",NA
"B30-02","2016","BBS",NA
"B30-02","2017","BBS",NA
"B30-02","2018","BBS",NA
"B30-02","2019","BBS",NA
"B30-02","2020","BBS",NA
"B30-02","2021","BBS",NA
"B30-02","2022","BBS",NA
"B30-04","2015","BBS",NA
"B30-04","2016","BBS",NA
"B30-04","2017","BBS",NA
"B30-04","2018","BBS",NA
"B30-04","2019","BBS",NA
"B30-04","2020","BBS",NA
"B30-04","2021","BBS",NA
"B30-04","2022","BBS",NA
"B31-01","2020",NA,"Foresty"
"B31-01","2021",NA,"Foresty"
"B31-01","2022",NA,"Foresty"
"B32-01","2015","BBS",NA
"B32-01","2016","BBS",NA
"B32-01","2017","BBS",NA
"B32-01","2018","BBS",NA
"B32-01","2019","BBS",NA
"B32-01","2020","BBS",NA
"B32-02","2015","BBS",NA
"B32-02","2016","BBS",NA
"B32-02","2017","BBS",NA
"B32-02","2018","BBS",NA
"B32-02","2019","BBS",NA
"B32-02","2020","BBS",NA
"B32-03","2018","BBS",NA
"B32-03","2019","BBS",NA
"B32-03","2020","BBS",NA
"B32-03","2022","BBS",NA
"B32-04","2018","BBS",NA
"B32-04","2019","BBS",NA
"B32-04","2020","BBS",NA
"B32-05","2015","BBS",NA
"B32-05","2020","BBS",NA
"B32-05","2021","BBS",NA
"B32-05","2022",NA,"Foresty"
"B32-06","2020",NA,"Foresty"
"B32-06","2021",NA,"Foresty"
"B32-06","2022",NA,"Foresty"
"B32-09","2020",NA,"Foresty"
"B32-09","2021",NA,"Foresty"
"B32-09","2022",NA,"Foresty"
"B33-01","2015","BBS",NA
"B33-01","2016","BBS",NA
"B33-01","2017","BBS",NA
"B33-01","2018","BBS",NA
"B33-01","2019","BBS",NA
"B33-01","2020","BBS",NA
"B33-01","2021","BBS",NA
"B33-01","2022","BBS",NA
"B33-02","2015","BBS",NA
"B33-02","2016","BBS",NA
"B36-01","2020",NA,"Foresty"
"B36-01","2021",NA,"Foresty"
"B36-01","2022",NA,"Foresty"
"B36-02","2020","BBS",NA
"B36-02","2021","BBS",NA
"B36-02","2022","BBS",NA
"B37-01","2018","BBS",NA
"B37-01","2019","BBS",NA
"B37-01","2020","BBS",NA
"B37-01","2021","BBS",NA
"B37-01","2022","BBS",NA
"B37-02","2015","BBS",NA
"B37-02","2016","BBS",NA
"B37-02","2017","BBS",NA
"B37-02","2018","BBS",NA
"B37-02","2019","BBS",NA
"B37-02","2020","BBS",NA
"B37-02","2021","BBS",NA
"B37-02","2022","BBS",NA
"B37-03","2020","BBS",NA
"B37-03","2021","BBS",NA
"B37-03","2022","BBS",NA
"B38-01","2015","BBS",NA
"B38-01","2016","BBS",NA
"B38-01","2017","BBS",NA
