"Site_N","Point","2015","2016","2017","2018","2019","2020","2021","2022"
"A04-01","5",NA,NA,NA,0,NA,NA,NA,NA
"A04-01","6",NA,NA,NA,0,NA,NA,NA,NA
"A04-01","7",NA,NA,NA,0,NA,NA,NA,NA
"A04-01","8",NA,NA,NA,0,NA,NA,NA,NA
"A04-01","9",NA,NA,NA,0,NA,NA,NA,NA
"A04-02","1",NA,NA,NA,0,NA,NA,0,0
"A04-02","10",NA,NA,NA,0,NA,NA,1,0
"A04-02","2",NA,NA,NA,0,NA,NA,0,1
"A04-02","3",NA,NA,NA,0,NA,NA,0,0
"A04-02","4",NA,NA,NA,0,NA,NA,0,0
"A04-02","5",NA,NA,NA,0,NA,NA,0,0
"A04-02","6",NA,NA,NA,0,NA,NA,0,0
"A04-02","7",NA,NA,NA,0,NA,NA,0,0
"A04-02","8",NA,NA,NA,0,NA,NA,0,0
"A04-02","9",NA,NA,NA,0,NA,NA,0,0
"A04-03","1",0,0,0,0,0,0,0,0
"A04-03","10",0,0,0,0,0,0,0,0
"A04-03","2",0,0,0,0,0,0,1,0
"A04-03","3",0,0,0,0,0,0,0,0
"A04-03","4",0,0,0,0,0,0,0,0
"A04-03","5",0,0,0,0,0,0,0,0
"A04-03","6",0,0,0,0,0,0,0,0
"A04-03","7",0,0,0,0,0,0,0,0
"A04-03","8",0,0,0,0,0,0,0,0
"A04-03","9",0,0,0,0,0,0,0,0
"A04-04","1",0,0,0,0,NA,NA,0,0
"A04-04","2",0,0,0,0,NA,NA,0,0
"A04-04","3",0,0,0,0,NA,NA,0,0
"A04-04","4",0,0,0,0,NA,NA,0,0
"A04-04","5",0,0,0,0,NA,NA,0,0
"A04-04","6",0,0,0,0,NA,NA,0,0
"A04-05","1",0,0,0,0,0,0,0,0
"A04-05","2",0,0,0,0,0,0,0,0
"A04-05","3",0,0,0,0,0,0,0,0
"A04-05","4",0,0,0,0,0,0,0,0
"A04-05","5",0,0,0,0,0,0,0,0
"A04-05","6",0,0,0,0,0,0,0,0
"A04-06","1",0,0,0,0,0,0,0,0
"A04-06","10",0,0,0,0,0,0,0,0
"A04-06","2",0,0,0,0,0,0,0,0
"A04-06","3",0,0,0,0,0,0,0,0
"A04-06","4",0,0,0,0,0,0,0,0
"A04-06","5",0,0,0,0,0,0,0,0
"A04-06","6",0,0,0,0,0,0,0,0
"A04-06","7",0,0,0,0,0,0,0,0
"A04-06","8",0,0,0,0,0,0,0,0
"A04-06","9",0,0,0,0,0,0,0,0
"A04-09","1",0,NA,NA,NA,NA,0,0,0
"A04-09","10",0,NA,NA,NA,NA,0,0,0
"A04-09","2",0,NA,NA,NA,NA,0,0,0
"A04-09","3",0,NA,NA,NA,NA,0,0,0
"A04-09","4",0,NA,NA,NA,NA,0,0,0
"A04-09","5",0,NA,NA,NA,NA,0,0,0
"A04-09","6",0,NA,NA,NA,NA,0,0,0
"A04-09","7",0,NA,NA,NA,NA,0,0,0
"A04-09","8",0,NA,NA,NA,NA,0,0,0
"A04-09","9",0,NA,NA,NA,NA,0,0,0
"A04-10","1",0,0,0,0,0,0,0,0
"A04-10","2",0,0,0,0,0,0,0,0
"A04-10","3",0,0,0,0,0,0,0,0
"A04-10","4",0,0,0,0,0,0,0,0
"A04-10","5",0,0,0,0,0,0,0,0
"A04-10","6",0,0,0,0,0,0,0,0
"A05-01","1",0,0,0,0,0,0,0,NA
"A05-01","2",0,0,0,0,0,0,0,NA
"A05-01","3",0,0,0,0,0,0,0,NA
"A05-01","4",0,0,0,0,0,0,0,NA
"A05-01","5",0,0,0,0,0,0,0,NA
"A05-01","6",0,0,0,0,0,0,0,NA
"A05-04","2",0,0,NA,NA,NA,NA,NA,NA
"A05-04","4",0,0,NA,NA,NA,NA,NA,NA
"A05-04","5",0,0,NA,NA,NA,NA,NA,NA
"A05-04","6",0,0,NA,NA,NA,NA,NA,NA
"A05-04","7",0,0,NA,NA,NA,NA,NA,NA
"A05-04","8",0,0,NA,NA,NA,NA,NA,NA
"A05-05","1",0,NA,NA,NA,NA,NA,NA,NA
"A05-05","2",0,NA,NA,NA,NA,NA,NA,NA
"A05-05","3",0,NA,NA,NA,NA,NA,NA,NA
"A05-05","4",0,NA,NA,NA,NA,NA,NA,NA
"A05-05","5",0,NA,NA,NA,NA,NA,NA,NA
"A05-05","6",0,NA,NA,NA,NA,NA,NA,NA
"A05-05","7",0,NA,NA,NA,NA,NA,NA,NA
"A05-05","8",0,NA,NA,NA,NA,NA,NA,NA
"A05-06","1",NA,NA,NA,NA,NA,NA,0,0
"A05-06","2",NA,NA,NA,NA,NA,NA,0,0
