"transect","Site_N","Year","Macaca_sur","elevation","edge","P_forest","P_farmland","Shannon","edge_length"
"A36-02-3","A36-02",2015,0,-0.624006698056321,0.0707823109352982,-1.03093753692048,-0.50260049256752,0.737659525805329,2.54395697650641
"A05-04-4","A05-04",2015,0,-0.308242554834628,0.0632006640208436,0.826358793871331,-0.50260129079128,-0.434022763328201,-0.637608608960953
"C37-03-8","C37-03",2015,0,3.62323594046961,NA,-1.38857831473548,4.39726246641473,-1.18739611640543,NA
"A09-19-3","A09-19",2015,0,-0.6295628174641,1.55340758173264,-1.37330045212027,0.449765783139828,1.68128408477612,1.37783071524722
"B21-01-4","B21-01",2015,0,1.99019270893381,NA,1.16428498102945,-0.50260129079128,-1.50954802159136,NA
"A33-18-10","A33-18",2015,0,-0.7238396835281,0.241903723561954,-1.47269481566434,0.698327257971879,1.61697034142596,1.57145619920083
"B29-02-3","B29-02",2015,0,1.30851583182094,NA,0.711830036879086,-0.143678434994741,-0.0399583722820889,NA
"A19-03-7","A19-03",2015,0,-0.615832316170946,-0.313169507862432,-0.292194110476503,-0.50260129079128,0.630120559509444,-0.17257514620457
"A36-16-7","A36-16",2015,0,-0.620113675818789,-0.448712484022812,0.150616190990473,-0.429354532957472,0.726326527596363,-0.28447739445632
"A27-03-5","A27-03",2015,0,-0.752704730875542,-0.368044902758388,-1.13273533915912,-0.50260129079128,1.4051492427263,-0.273771989104255
"A34-31-2","A34-31",2015,0,-0.68994301348016,-0.297026991426467,1.0506882794746,-0.50260129079128,-1.0997329247954,-1.01164306008351
"A27-33-7","A27-33",2015,0,-0.745768566440994,0.506536981627056,-1.47269481566434,2.6739965712853,0.915623928003469,0.75294002815025
"A27-31-3","A27-31",2015,0,-0.723544209411558,0.425449891266702,-1.45600853817021,2.54115659449752,1.00899239315901,1.43193115675543
"A39-07-2","A39-07",2015,0,-0.642865182792471,0.603362117451777,-1.45648350172201,-0.170902903689261,0.484808014242009,0.819614325143429
"A09-08-1","A09-08",2015,0,-0.754894495583313,0.626158661355284,-1.47269481566434,3.00933414296893,0.523334175693773,1.65415191532939
"B30-01-9","B30-01",2015,0,1.71680076004094,NA,0.64512958488538,-0.50260129079128,-0.109736647567583,NA
"C14-03-9","C14-03",2015,0,3.68679302594605,NA,1.07720544092762,-0.335464302591811,-1.17869817992203,NA
"A28-08-2","A28-08",2015,0,-0.700496745914615,-0.207525067053226,-1.00810036370662,0.240006055601003,1.06297031720234,0.202131299146747
"B14-02-3","B14-02",2015,0,1.50497596890087,NA,0.683988226737275,-0.50260129079128,-0.427312947263216,NA
"A10-01-6","A10-01",2015,0,-0.563883142415772,0.0246264133062272,-0.129899895702997,-0.50260129079128,0.844195537105446,0.893761335843805
"A27-12-1","A27-12",2015,0,-0.686795068423032,0.151598561950862,-1.47269481566434,2.52281099486514,1.02431140957692,1.3277628766288
"A34-01-6","A34-01",2015,0,-0.74413972014793,0.820549054449877,-1.47269481566434,1.99106817041168,1.03839527276667,2.03800159798531
"A34-21-5","A34-21",2015,0,-0.749069434428642,0.735405362603539,-0.981186886574127,-0.50260129079128,1.50986010074837,0.141609487183867
"A35-10-4","A35-10",2015,0,-0.545279127224889,3.37036151623313,-1.47269481566434,-0.0173676208145212,1.02903199844107,3.28797435917428
"B33-02-3","B33-02",2015,0,0.347699129735886,NA,-0.0686306699778191,0.511820972718504,1.06765357140504,NA
"A27-24-8","A27-24",2015,0,-0.730051876076281,0.929420492055991,-1.1500807617135,0.0464062571546523,1.30191899855568,1.33443219761072
"A05-05-5","A05-05",2015,0,-0.180633916992843,1.28606585721887,0.697205611214107,-0.50260129079128,-0.444672281048534,-0.779812463604327
"B10-02-3","B10-02",2015,0,1.28913514180944,NA,1.16428498102945,-0.50260129079128,-1.50954802159136,NA
"A09-04-8","A09-04",2015,0,-0.650517600605851,-0.166193173687093,-0.472009549216068,-0.104439054525597,1.27573237554499,0.422440309857574
"A34-35-6","A34-35",2015,0,-0.756575731246266,0.493675724470924,-1.47269481566434,0.784208100434243,1.63191825724523,1.45197050253925
"A04-09-4","A04-09",2015,0,-0.745787259701429,2.54901125163045,-1.47269481566434,-0.50260129079128,0.0709564104161175,3.05870156517213
"A27-10-2","A27-10",2015,0,-0.663667766613782,-0.341771592148922,0.455582561599618,-0.0113412451334296,0.489767007644324,-0.628086363993218
"A33-18-7","A33-18",2016,0,-0.722122436203434,1.12753380886406,-1.47269481566434,-0.257600221374311,0.451856177307747,3.1678443936322
"A26-04-3","A26-04",2016,0,-0.529796283518124,-0.225711649126507,-1.07119791725414,-0.462457273038904,0.923045828212434,0.831598482314158
"B14-03-7","B14-03",2016,0,1.34995456914486,NA,0.6625295382562,-0.50260129079128,-0.399945244171316,NA
"A27-27-10","A27-27",2016,0,-0.742051984461625,0.103666056504211,-1.47269481566434,3.27105094113091,0.371444886748374,0.579463899109451
"A17-01-2","A17-01",2016,0,-0.734196473418754,0.00731595297233774,-1.2079221311145,0.524524809453338,1.53490812603947,1.38894496975203
"A04-04-1","A04-04",2016,0,0.19404776506719,-0.63233159627579,1.09036382893642,-0.50260129079128,-1.21805778598539,-1.20199324957988
"A09-02-6","A09-02",2016,0,-0.49352894624208,-0.248439588235741,1.08789920906555,-0.50260129079128,-1.16475380444224,-0.873071847883237
"A35-06-1","A35-06",2016,0,-0.73863763029289,-0.166397881119335,-1.47269481566434,1.57578618722343,0.965851925986829,0.632889705537508
"A33-11-7","A33-11",2016,0,-0.586790225556939,-0.110712375965288,-1.47269481566434,2.06498587527006,0.808927758683722,1.29029750707173
