"transect","Site_N","Year","Macaca_sur","elevation","edge","P_forest","P_farmland","Shannon","edge_length"
"A16-04-6","A16-04",2015,0,-0.0135211362393779,-0.279638721004318,0.673730531877272,-0.494465891102436,-0.183799141698818,-0.655937816764091
"A04-10-6","A04-10",2015,0,-0.746728297426271,0.224728835186077,0.770353865531289,-0.382614670755887,-0.441628351426602,-0.381574109309529
"A27-05-1","A27-05",2015,0,-0.763893893237707,-0.00893490773910422,-1.58416614718772,0.31476433488174,1.23190348755047,1.43531179656302
"B38-08-9","B38-08",2015,0,0.640223451321783,NA,-0.15065981668533,-0.0753189672182115,1.11157533778903,NA
"B16-01-10","B16-01",2015,0,1.87038542918563,NA,0.426145457331058,-0.494465891102436,0.130673716678006,NA
"A24-02-4","A24-02",2015,0,-0.645240815840338,-0.0909308874551228,-0.501201196976097,1.9105733844459,1.32566729998694,-0.113005902650315
"B30-01-5","B30-01",2015,0,1.57653798448575,NA,0.726627843403694,-0.494465891102436,-0.417950269697435,NA
"A33-03-5","A33-03",2015,0,-0.700588606446243,0.311253732307794,-1.77149300338701,3.81680287290949,0.820711527868791,1.04394178716486
"C37-01-9","C37-01",2015,0,2.49407185292382,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"A29-02-6","A29-02",2015,0,-0.53383541422944,0.215190668388405,-0.417701472690238,-0.494465891102436,0.912071656408236,1.04839249912223
"A04-05-6","A04-05",2015,0,0.134608370762861,-0.261793438005443,0.193801221501224,0.27689330362268,0.432868534481539,-0.632086059153791
"B37-02-1","B37-02",2015,0,2.03149418419045,NA,0.736590266968665,-0.494465891102436,-0.439522348302826,NA
"B38-08-7","B38-08",2015,0,0.577681903978955,NA,0.662091546555274,-0.275900850991905,-0.156788108850454,NA
"A18-02-2","A18-02",2015,0,-0.730368074759955,-0.206113096192831,-1.79167179981481,1.79767521868616,1.41206518474644,1.09997869097617
"A28-14-7","A28-14",2015,0,-0.239808239364407,1.49135623533199,-1.172490623235,-0.494465891102436,0.594770075967543,0.623717030496974
"A36-15-6","A36-15",2015,0,-0.710328161345284,-0.174925886793907,0.546529723387698,0.245637848493482,0.0301607451134524,-0.500632562707969
"A33-11-8","A33-11",2015,0,-0.684414029115074,-0.201709941107202,-1.79167179981481,0.9455029006011,0.991714361792276,1.40320145701401
