Altitude,S_all_X,S_all_Y
319.00000,121.37883,24.81319
163.00000,121.52057,25.12999
176.00000,121.51904,25.12806
144.00000,121.51931,25.12602
79.00000,121.52024,25.12446
96.00000,121.51711,25.12457
126.00000,121.51681,25.12615
122.00000,121.51761,25.1276
183.00000,121.51814,25.13077
2.00000,121.48966,25.07926
2.00000,121.49131,25.08146
2.00000,121.48736,25.08378
3.00000,121.48912,25.08829
4.00000,121.49353,25.08651
2.00000,121.4941,25.08439
766.00000,120.95305,24.53446
747.00000,120.9538,24.53764
732.00000,120.95195,24.53938
741.00000,120.94957,24.54101
875.00000,120.95068,24.54282
718.00000,120.94795,24.54276
34.00000,120.84254,24.57303
30.00000,120.84312,24.57653
33.00000,120.84331,24.58027
24.00000,120.84347,24.58319
25.00000,120.8418,24.58569
29.00000,120.83809,24.5877
23.00000,120.83447,24.58965
25.00000,120.83116,24.59015
28.00000,120.82536,24.59331
95.00000,120.53382,22.95417
104.00000,120.53545,22.95857
109.00000,120.53739,22.96006
118.00000,120.54076,22.95916
128.00000,120.5422,22.96057
131.00000,120.55343,22.96249
145.00000,120.55872,22.96091
5.00000,121.48847,25.04667
4.00000,121.48411,25.04864
3.00000,121.48137,25.05218
2.00000,121.47957,25.05561
3.00000,121.47717,25.06052
4.00000,121.47577,25.06362
4.00000,121.47376,25.06364
4.00000,121.47272,25.06549
3.00000,121.45408,25.09814
2.00000,121.45207,25.09799
3.00000,121.4518,25.09577
4.00000,121.45428,25.09496
4.00000,121.45335,25.09187
3.00000,121.45259,25.09013
3.00000,121.45097,25.08896
3.00000,121.45016,25.09064
345.00000,121.45409,24.94487
408.00000,121.45582,24.94599
368.00000,121.45771,24.94682
375.00000,121.45956,24.94773
380.00000,121.46206,24.94738
372.00000,121.46351,24.94886
5.00000,120.23761,22.9405
5.00000,120.23878,22.94169
3.00000,120.23983,22.94303
5.00000,120.24078,22.94408
5.00000,120.24128,22.94528
5.00000,120.24178,22.94664
5.00000,120.24147,22.94789
6.00000,120.24097,22.94914
5.00000,120.24158,22.95083
5.00000,120.24142,22.95264
170.00000,120.56988,23.02052
209.00000,120.56944,23.02228
209.00000,120.56912,23.02382
164.00000,120.57129,23.0217
170.00000,120.57238,23.02381
168.00000,120.57333,23.02485
193.00000,120.57058,23.02442
201.00000,120.57222,23.02779
10.00000,121.55744,24.97881
16.00000,121.55894,24.98028
20.00000,121.56144,24.97994
19.00000,121.56369,24.98097
18.00000,121.56586,24.98142
15.00000,121.56806,24.98111
18.00000,121.57025,24.98206
16.00000,121.57189,24.986
17.00000,121.57192,24.98778
16.00000,121.57228,24.99092
15.00000,121.5725,24.99308
15.00000,121.57319,24.99525
15.00000,121.57522,24.99681
14.00000,121.57619,24.99864
16.00000,121.57836,24.99944
20.00000,121.58075,24.99942
276.00000,121.57628,24.96992
300.00000,121.57597,24.96828
285.00000,121.57747,24.96808
278.00000,121.57881,24.97019
267.00000,121.58003,24.97128
245.00000,121.57942,24.97325
27.00000,120.45728,23.84502
27.00000,120.45785,23.84105
27.00000,120.45479,23.84077
27.00000,120.45498,23.83871
27.00000,120.45882,23.83727
29.00000,120.4544,23.83457
26.00000,120.45701,23.83329
26.00000,120.45323,23.8318
29.00000,120.46258,23.83793
762.00000,121.52487,25.18947
714.00000,121.52446,25.19135
599.00000,121.52478,25.19334
582.00000,121.5235,25.19489
563.00000,121.52214,25.19638
568.00000,121.52119,25.19807
9.00000,121.75369,24.6815
9.00000,121.75372,24.68327
10.00000,121.75176,24.68388
16.00000,121.75017,24.68291
14.00000,121.74979,24.68483
10.00000,121.75201,24.68604
11.00000,121.75379,24.68509
9.00000,121.75547,24.68428
9.00000,121.75701,24.68274
11.00000,121.75584,24.68121
70.00000,120.68333,24.03333
66.00000,120.69411,24.04306
75.00000,120.6961,24.04235
77.00000,120.6986,24.04154
84.00000,120.70069,24.04154
87.00000,120.70312,24.04211
73.00000,120.69583,24.04005
67.00000,120.69445,24.04597
12.00000,120.37411,23.90143
12.00000,120.37297,23.90411
12.00000,120.36997,23.9043
11.00000,120.36505,23.90398
11.00000,120.36542,23.90194
11.00000,120.36468,23.89718
11.00000,120.36612,23.89442
12.00000,120.37089,23.89571
11.00000,120.37278,23.89501
11.00000,120.37419,23.89748
9.00000,121.53818,25.02892
7.00000,121.54119,25.02838
8.00000,121.54324,25.0258
8.00000,121.54533,25.02631
7.00000,121.54612,25.02942
8.00000,121.54864,25.03085
7.00000,121.54337,25.03115
7.00000,121.53947,25.03122
9.00000,121.53482,25.03103
6.00000,121.53628,25.02765
118.00000,121.55475,24.00655
165.00000,121.55236,24.00712
223.00000,121.55062,24.00858
239.00000,121.5489,24.01075
276.00000,121.55184,24.01002
293.00000,121.55515,24.00994
396.00000,121.5505,24.01322
429.00000,121.55393,24.01214
20.00000,121.49212,25.14341
32.00000,121.49266,25.14514
42.00000,121.49309,25.14673
61.00000,121.49407,25.14829
93.00000,121.49456,25.15004
120.00000,121.49326,25.1519
111.00000,121.49182,25.15186
143.00000,121.491,25.15442
78.00000,121.49173,25.14985
59.00000,121.49234,25.14847
68.00000,120.858,24.56788
48.00000,120.86003,24.5703
43.00000,120.86193,24.57197
54.00000,120.86437,24.57087
52.00000,120.86718,24.57053
61.00000,120.86907,24.56842
1.00000,120.34292,23.98964
2.00000,120.34108,23.98967
2.00000,120.3393,23.98953
1.00000,120.33753,23.98953
1.00000,120.33569,23.98944
1.00000,120.33384,23.98939
1.00000,120.33208,23.98933
1.00000,120.32919,23.98519
0.00000,120.32758,23.981
1.00000,120.32611,23.97692
64.00000,120.58778,23.81417
68.00000,120.59278,23.81107
64.00000,120.58672,23.81263
66.00000,120.58973,23.81084
62.00000,120.5825,23.81389
62.00000,120.58277,23.8121
62.00000,120.58611,23.80972
63.00000,120.58452,23.808
61.00000,120.58235,23.80842
65.00000,120.58777,23.8075
27.00000,120.55333,23.92333
29.00000,120.56028,23.92236
27.00000,120.55736,23.92519
27.00000,120.55556,23.9275
28.00000,120.55735,23.92991
28.00000,120.55939,23.9273
28.00000,120.56014,23.93083
27.00000,120.55242,23.92806
26.00000,120.55183,23.93139
27.00000,120.55178,23.92535
223.00000,120.56691,22.96975
216.00000,120.56922,22.97285
244.00000,120.56952,22.97049
277.00000,120.57117,22.96924
370.00000,120.57357,22.96944
442.00000,120.57484,22.96737
12.00000,120.35248,22.62223
12.00000,120.35605,22.62201
12.00000,120.35474,22.6238
13.00000,120.35557,22.6256
13.00000,120.35644,22.62803
13.00000,120.35618,22.63081
368.00000,121.57883,25.10568
371.00000,121.57733,25.10544
348.00000,121.57595,25.10399
338.00000,121.57446,25.10249
313.00000,121.57294,25.10213
283.00000,121.57117,25.10099
248.00000,121.56965,25.09976
245.00000,121.5679,25.0992
224.00000,121.56636,25.09823
223.00000,121.56472,25.09774
291.00000,121.56849,25.10614
325.00000,121.56734,25.10495
393.00000,121.57003,25.10426
396.00000,121.57149,25.10525
408.00000,121.57521,25.10588
353.00000,121.56921,25.10262
452.00000,121.57333,25.10624
915.00000,120.69347,23.60681
935.00000,120.69257,23.60476
952.00000,120.68992,23.60244
976.00000,120.69206,23.60269
1048.00000,120.69411,23.60133
1074.00000,120.69628,23.60269
1171.00000,120.70383,23.60203
0.00000,121.81233,24.66356
0.00000,121.81581,24.65987
0.00000,121.81433,24.65827
0.00000,121.80961,24.66272
0.00000,121.80786,24.65805
0.00000,121.8019,24.66856
0.00000,121.80393,24.66699
0.00000,121.81003,24.65269
0.00000,121.80561,24.65296
0.00000,121.81367,24.65307
107.00000,121.47073,25.18388
144.00000,121.47801,25.18369
154.00000,121.47772,25.18138
200.00000,121.47476,25.18143
150.00000,121.47296,25.17747
119.00000,121.46924,25.17847
88.00000,120.98344,24.79236
119.00000,120.98527,24.79143
123.00000,120.98534,24.79304
109.00000,120.98718,24.79078
98.00000,120.98871,24.7921
79.00000,120.98674,24.79439
45.00000,120.98722,24.79717
88.00000,121.24694,25.01004
89.00000,121.24295,25.00695
87.00000,121.24119,25.01107
87.00000,121.23969,25.01398
86.00000,121.23449,25.00964
89.00000,121.23816,25.01089
7.00000,121.74682,24.75592
7.00000,121.74949,24.75491
6.00000,121.75335,24.75285
6.00000,121.75477,24.75462
6.00000,121.75663,24.7545
4.00000,121.75819,24.75082
4.00000,121.75371,24.74563
4.00000,121.75446,24.74384
4.00000,121.75256,24.74338
4.00000,121.75185,24.74515
4.00000,121.75006,24.74468
4.00000,121.75365,24.7404
4.00000,121.75526,24.74201
10.00000,121.74486,24.75774
9.00000,121.7442,24.76009
6.00000,121.74968,24.76203
5.00000,121.75042,24.76556
5.00000,121.75773,24.76398
5.00000,121.76074,24.76211
7.00000,120.46798,24.05592
7.00000,120.4692,24.0575
7.00000,120.46915,24.06009
7.00000,120.47193,24.05945
8.00000,120.47396,24.05822
8.00000,120.47611,24.0573
8.00000,120.47789,24.0565
8.00000,120.48205,24.05641
7.00000,120.47259,24.05526
769.00000,120.88889,23.59869
766.00000,120.88905,23.59649
759.00000,120.88945,23.59409
799.00000,120.89285,23.59199
812.00000,120.89602,23.58909
801.00000,120.88702,23.5914
825.00000,120.88614,23.59437
852.00000,120.88544,23.59639
11.00000,121.72305,24.72748
13.00000,121.72109,24.72601
14.00000,121.7191,24.72527
15.00000,121.71698,24.72454
16.00000,121.71586,24.72212
18.00000,121.71414,24.72105
19.00000,121.71238,24.72007
20.00000,121.71237,24.71811
22.00000,121.71069,24.71698
635.00000,121.37583,24.69111
636.00000,121.37805,24.68972
673.00000,121.37805,24.68639
670.00000,121.3775,24.68306
683.00000,121.37361,24.68194
675.00000,121.37306,24.67917
666.00000,121.37028,24.6775
671.00000,121.36833,24.67444
679.00000,121.36583,24.67417
684.00000,121.36354,24.67678
114.00000,121.29794,24.96827
116.00000,121.29885,24.96647
118.00000,121.29677,24.96447
119.00000,121.29752,24.96273
121.00000,121.2954,24.96181
120.00000,121.29305,24.96193
117.00000,121.29464,24.9656
47.00000,121.54413,24.99057
77.00000,121.54604,24.99193
138.00000,121.54835,24.99247
111.00000,121.5505,24.99377
111.00000,121.5525,24.99337
86.00000,121.5545,24.99145
31.00000,121.5548,24.9894
61.00000,120.91107,24.5897
62.00000,120.91397,24.58808
55.00000,120.91653,24.58734
97.00000,120.91941,24.58741
117.00000,120.92237,24.58804
126.00000,120.92558,24.58727
101.00000,120.90022,24.58649
152.00000,120.90272,24.58525
153.00000,120.90447,24.58375
174.00000,120.90606,24.58098
171.00000,120.90876,24.58014
198.00000,120.91103,24.58103
203.00000,120.91298,24.57986
128.00000,120.39809,22.98144
130.00000,120.3979,22.97945
114.00000,120.39896,22.97773
109.00000,120.39835,22.98359
103.00000,120.40048,22.98477
132.00000,120.40224,22.9828
108.00000,120.40154,22.98033
87.00000,120.40258,22.97835
101.00000,120.40124,22.97639
114.00000,120.39979,22.98074
948.00000,120.60942,23.56056
936.00000,120.61164,23.56232
922.00000,120.61496,23.56386
899.00000,120.61693,23.5663
912.00000,120.62009,23.56349
859.00000,120.61686,23.56452
826.00000,120.61646,23.56292
909.00000,120.61275,23.56094
883.00000,120.61549,23.56104
304.00000,121.25717,24.81068
310.00000,121.26129,24.80951
318.00000,121.26119,24.81398
332.00000,121.27178,24.81835
391.00000,121.26931,24.82061
308.00000,121.28234,24.81962
242.00000,121.28742,24.82336
190.00000,120.44594,22.9732
274.00000,120.44325,22.97471
284.00000,120.44128,22.97209
298.00000,120.44062,22.97066
305.00000,120.43982,22.96901
318.00000,120.43871,22.96675
325.00000,120.43771,22.96464
