Altitude,S_all_X,S_all_Y
345,121.45409,24.94487
419,121.45582,24.94599
373,121.45771,24.94682
355,121.45956,24.94773
370,121.46206,24.94738
372,121.46351,24.94886
1,120.23761,22.9405
5,120.23878,22.94169
3,120.23983,22.94303
5,120.24078,22.94408
4,120.24128,22.94528
5,120.24178,22.94664
4,120.24147,22.94789
6,120.24097,22.94914
5,120.24158,22.95083
5,120.24142,22.95264
173,120.56988,23.02052
208,120.56944,23.02228
209,120.56912,23.02382
170,120.57129,23.0217
170,120.57238,23.02381
168,120.57333,23.02485
193,120.57058,23.02442
201,120.57222,23.02779
10,121.55744,24.97881
16,121.55894,24.98028
20,121.56144,24.97994
19,121.56369,24.98097
18,121.56586,24.98142
16,121.56806,24.98111
18,121.57025,24.98206
16,121.57189,24.986
17,121.57192,24.98778
16,121.57228,24.99092
15,121.5725,24.99308
15,121.57319,24.99525
15,121.57522,24.99681
14,121.57619,24.99864
16,121.57836,24.99944
20,121.58075,24.99942
280,121.57628,24.96992
300,121.57597,24.96828
285,121.57747,24.96808
278,121.57881,24.97019
263,121.58003,24.97128
245,121.57942,24.97325
27,120.45728,23.84502
27,120.45785,23.84105
27,120.45479,23.84077
27,120.45498,23.83871
27,120.45882,23.83727
29,120.4544,23.83457
26,120.45701,23.83329
26,120.45323,23.8318
29,120.46258,23.83793
769,121.52487,25.18947
714,121.52446,25.19135
607,121.52478,25.19334
582,121.5235,25.19489
557,121.52214,25.19638
568,121.52119,25.19807
9,121.75369,24.6815
10,121.75372,24.68327
10,121.75176,24.68388
16,121.75017,24.68291
14,121.74979,24.68483
9,121.75201,24.68604
11,121.75379,24.68509
9,121.75547,24.68428
9,121.75701,24.68274
11,121.75584,24.68121
70,120.68333,24.03333
66,120.69411,24.04306
75,120.6961,24.04235
77,120.6986,24.04154
84,120.70069,24.04154
87,120.70312,24.04211
73,120.69583,24.04005
67,120.69445,24.04597
12,120.37411,23.90143
12,120.37297,23.90411
12,120.36997,23.9043
12,120.36505,23.90398
11,120.36542,23.90194
11,120.36468,23.89718
11,120.36612,23.89442
11,120.37089,23.89571
11,120.37278,23.89501
12,120.37419,23.89748
9,121.53818,25.02892
7,121.54119,25.02838
8,121.54324,25.0258
8,121.54533,25.02631
7,121.54612,25.02942
8,121.54864,25.03085
7,121.54337,25.03115
7,121.53947,25.03122
9,121.53482,25.03103
6,121.53628,25.02765
118,121.55475,24.00655
165,121.55236,24.00712
220,121.55062,24.00858
239,121.5489,24.01075
276,121.55184,24.01002
293,121.55515,24.00994
387,121.5505,24.01322
426,121.55393,24.01214
19,121.49212,25.14341
31,121.49266,25.14514
42,121.49309,25.14673
61,121.49407,25.14829
93,121.49456,25.15004
121,121.49326,25.1519
111,121.49182,25.15186
138,121.491,25.15442
79,121.49173,25.14985
59,121.49234,25.14847
68,120.858,24.56788
48,120.86003,24.5703
43,120.86193,24.57197
54,120.86437,24.57087
52,120.86718,24.57053
61,120.86907,24.56842
