X,Y,NO,join_TypeName,join_FunctionTy,join_Function,join_Area_ha,distance
120.90879,24.61052,"3,075",竹林,"2211",生產性人工林,13139.1,0
120.90639,24.60989,"3,076",竹林,"2211",生產性人工林,16093.4,0
120.90373,24.60947,"3,077",闊葉樹林型,"2221",經改造天然林,103298,0.588028194848448
120.90178,24.60926,"3,078",闊葉樹林型,"2221",經改造天然林,103298,14.3942945903676
120.90008,24.6085,"3,079",闊葉樹林型,"2221",經改造天然林,103298,0
120.89801,24.60912,"3,080",闊葉樹林型,"2221",經改造天然林,213771,0
121.58382,24.97588,"3,081",闊葉樹林型,,原生林,3208.01,0
121.58123,24.97333,"3,082",竹林,,生產性人工林,203.755,1.03429102878391
121.58321,24.96865,"3,083",闊葉樹林型,,原生林,3208.01,4.36807384290915
121.58736,24.97105,"3,084",闊葉樹林型,,經改造天然林,42.2977,2.44179158960505
121.5875,24.9662,"3,085",闊葉樹林型,,原生林,3208.01,0
121.58906,24.96467,"3,086",闊葉樹林型,,原生林,3208.01,0
120.08267,23.06233,"3,087",闊葉樹林型,"2211",生產性人工林,19509,253.154622285067
120.081,23.06064,"3,088",闊葉樹林型,"2211",生產性人工林,19509,32.2767741105645
120.54566,22.75988,"3,089",闊葉樹林型,,生產性人工林,2.74168,21.6590816036308
120.54804,22.76011,"3,090",闊葉樹林型,,生產性人工林,2.74168,266.94409412792
120.5538,22.7591,"3,091",闊葉樹林型,,經改造天然林,0.260041,169.375155691742
120.55378,22.76314,"3,092",闊葉樹林型,,生產性人工林,0.719678,110.436144563739
120.54985,22.76477,"3,093",闊葉樹林型,,生產性人工林,0.176377,97.6602452559149
120.54565,22.7665,"3,094",闊葉樹林型,,經改造天然林,0.382381,133.483005905106
120.84795,23.94943,"3,095",闊葉樹林型,"2221",經改造天然林,213771,28.5406209056771
120.84972,23.96053,"3,096",闊葉樹林型,"2221",經改造天然林,213771,17.6366868191174
120.85084,23.94887,"3,097",闊葉樹林型,,經改造天然林,2737.78,82.4261474264503
120.84657,23.96221,"3,098",闊葉樹林型,"2221",經改造天然林,46290.7,67.7475220474423
120.8533,23.94779,"3,099",竹闊混淆林,"2211",生產性人工林,929.44,0
120.84657,23.9598,"3,100",闊葉樹林型,"2221",經改造天然林,213771,7.20192817186437
120.85456,23.94919,"3,101",闊葉樹林型,"2221",經改造天然林,213771,44.3382829960302
120.84403,23.95747,"3,102",針葉樹林型,"1100",原生林,5910.23,135.933049816872
120.85662,23.95039,"3,103",闊葉樹林型,"2221",經改造天然林,213771,9.24285855268717
120.8411,23.95443,"3,104",闊葉樹林型,"2221",經改造天然林,213771,30.8210689858039
120.85695,23.95227,"3,105",闊葉樹林型,"2221",經改造天然林,213771,13.2918178755706
120.84089,23.95214,"3,106",闊葉樹林型,"2221",經改造天然林,213771,35.009161709178
120.86247,23.95427,"3,107",闊葉樹林型,"1100",原生林,369060,0
120.83844,23.95077,"3,108",竹闊混淆林,"2211",生產性人工林,13227.2,1.46205322902047
120.77911,24.47037,"3,109",闊葉樹林型,,經改造天然林,1379.89,166.242638930353
120.77206,24.46759,"3,110",闊葉樹林型,,生產性人工林,8971.7,4.46895826352155
120.77361,24.46922,"3,111",闊葉樹林型,,生產性人工林,8971.7,17.2622475177639
120.77622,24.47066,"3,112",闊葉樹林型,,經改造天然林,1379.89,3.8694007615767
120.77684,24.47261,"3,113",闊葉樹林型,,生產性人工林,8971.7,35.1154170561137
120.77887,24.47552,"3,114",闊葉樹林型,,經改造天然林,1379.89,149.815689643544
120.89012,24.43081,"3,115",竹林,"2211",生產性人工林,7328.52,0
120.8939,24.43249,"3,116",竹闊混淆林,"2211",生產性人工林,172.96,0
120.89666,24.43159,"3,117",竹闊混淆林,"2211",生產性人工林,1705.32,0
120.89669,24.43318,"3,118",竹林,"2211",生產性人工林,9086.67,0
120.89821,24.43297,"3,119",竹闊混淆林,"2211",生產性人工林,1705.32,27.6023266475061
120.8997,24.43354,"3,120",竹林,,生產性人工林,1052.78,21.0822861400692
120.78854,24.40996,"3,121",闊葉樹林型,,生產性人工林,8971.7,51.0137625225754
120.78838,24.41279,"3,122",闊葉樹林型,,生產性人工林,8971.7,0
120.7916,24.41144,"3,123",闊葉樹林型,"2221",經改造天然林,213771,5.00416747959519
120.79559,24.41421,"3,124",竹林,"2211",生產性人工林,9086.67,0
120.79672,24.41456,"3,125",闊葉樹林型,,生產性人工林,8971.7,0.222832195503784
120.79932,24.41652,"3,126",闊葉樹林型,"2221",經改造天然林,6026.45,7.82496224223238
120.86194,24.23833,"3,127",闊葉樹林型,,經改造天然林,997.041,99.2531643198074
120.86333,24.23944,"3,128",闊葉樹林型,"2221",經改造天然林,103298,30.3338518458392
120.86583,24.24,"3,129",闊葉樹林型,,經改造天然林,997.041,6.17351260946016
120.86784,24.24075,"3,130",闊葉樹林型,"2221",經改造天然林,213771,68.2703549877553
120.87028,24.24194,"3,131",闊葉樹林型,"2221",經改造天然林,3574.59,78.2778322868058
120.86111,24.23722,"3,132",竹闊混淆林,"2211",生產性人工林,10425.5,32.3722437495833
120.85945,24.23611,"3,133",闊葉樹林型,"2221",經改造天然林,103298,0
120.87584,24.24028,"3,134",闊葉樹林型,"2221",經改造天然林,103298,46.6893879414727
