"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"chg",32.9882681998516,28.7186732690738,-21.0189986379753,13.7211157818547,32.684930047163,48.9622827116093,94.1453914306076,1.08137029967246,68
"deviance",980.636918164883,97.2291120073386,925.791581536912,951.105079919536,966.733943988047,989.324154595737,1090.46647381603,1.0023284322848,1900
"ind[1]",100,4.96396910315696e-15,100,100,100,100,100,1,1
"ind[2]",97.9243024421488,15.3882071928449,69.5877844051042,87.4265644660457,97.5308990336329,107.917101973418,130.502225931169,1.02307971438459,180
"ind[3]",97.7797142859199,22.6154221093325,58.0283655302099,82.1575809841131,98.1770693844061,112.28505307696,145.282346037612,1.01790966863332,130
"ind[4]",110.516500531047,25.6359496322068,67.0277142756313,92.021383415933,109.574793437189,126.004658700401,170.422151964599,1.01755620030996,810
"ind[5]",121.928202550756,26.176277529746,77.8519840493854,102.939944465649,121.673560717457,138.120559413752,176.905871813553,1.02345442833232,290
"ind[6]",129.107250556241,27.9105712691958,81.5522214983767,109.964464374457,127.957896802721,147.399185706972,186.605887249608,1.01460048489529,280
"ind[7]",142.377114571699,29.3220774215133,88.9675026153908,122.308833766454,140.693595540549,161.121756249892,204.894035057808,1.00987935301763,300
"ind[8]",158.377289162989,33.9347703690462,97.8685432591291,135.307003477514,156.235541264498,178.065885581064,231.449179983648,1.0137844199892,240
"sd[1]",0.195217023436172,0.159538968155665,0.0628391234545295,0.108960267464698,0.156911710431577,0.234350026326452,0.535182839631681,1.02832841090801,79
"sd[2]",1.68244295557568,0.24876561940565,1.12600757855082,1.54958335688558,1.71858790352256,1.85177957323371,2.09574688135399,1.03675077449266,78
"sd[3]",0.149722321250702,0.0548014593157692,0.05633325698377,0.11390582614809,0.14358008391545,0.179615472153702,0.271037989755962,1.05138006184093,67
"st[1]",-0.814111437826337,1.38657549440608,-3.82162355099963,-1.69987857632355,-0.678159376881973,0.154369168313332,1.61590110096605,1.0014408790474,3100
"st[2]",2.28446930957887,0.747002092824029,0.572763139562754,1.85193230307681,2.37765729426855,2.80359395673716,3.52893536340869,1.02050528828329,150
"st[3]",-0.376318643538741,1.46850970609618,-3.42457833507044,-1.33550217212101,-0.303566385440121,0.640611258526898,2.34033313543975,1.0030740268793,1100
"st[4]",-0.826515048982456,1.26829665536263,-3.53322008480739,-1.64007147533853,-0.758396384181473,0.0513080510638702,1.51314223606044,1.00457517896626,530
"st[5]",-0.178946656602798,1.51399459066972,-3.32363112573686,-1.15650669116581,-0.135103645574576,0.850798557535872,2.70135499077677,1.00207492454068,3000
"st[6]",-0.384891915012546,1.46543241740311,-3.5288619325897,-1.34854262838883,-0.309926910798859,0.663422789467181,2.22157196569102,1.0010535585137,7500
"st[7]",-0.493193268360339,1.4077037030683,-3.53893910671493,-1.35034185111664,-0.407209599861429,0.465246204587615,2.09689952071251,1.00407501713761,620
"st[8]",-0.340873242195439,1.50468956888839,-3.46643010589358,-1.34498932367315,-0.251230866728834,0.689570839284069,2.42253936314659,1.00296605342729,1100
"st[9]",-1.01941918703646,1.35613290504874,-3.97178442094135,-1.84982305375654,-0.917372334943967,-0.104029638255995,1.35467499603268,1.04782278980275,64
"st[10]",-0.607062447916747,1.34258745122567,-3.46268325582386,-1.46098253867559,-0.51414844956254,0.325806778391419,1.79850549129914,1.00245839697495,1900
"st[11]",-0.907745169830031,1.31199922778961,-3.65082832137374,-1.76330992060337,-0.830524456206619,-0.00183623822885491,1.50853355539906,1.00641255610038,2000
"st[12]",0.597361599195131,0.99440782207318,-1.4885974664943,-0.0343817486656371,0.66015195895096,1.29643401801885,2.37634709988285,1.01039082968276,220
"st[13]",1.80534955990448,0.815154194766919,0.00361113929652908,1.28250765261167,1.8739379028924,2.39222619423457,3.1729511953229,1.01329655984822,250
"st[14]",-0.261948642666202,1.55581838435744,-3.46919202962261,-1.26783634933733,-0.204226876821705,0.811919513874337,2.63666313266185,1.00295950045525,2800
"st[15]",1.87177209771586,0.913116942949127,-0.106294130675489,1.30001005977887,1.95070401937113,2.5232642468829,3.43090435468674,1.00835871188389,270
"st[16]",0.408134238030818,1.05951166094084,-1.86013901428659,-0.266952053079949,0.470134988465553,1.16435807465905,2.27419520762925,1.01616120303901,130
"st[17]",-0.744589333514364,1.30440584953787,-3.39225652834478,-1.61184270044114,-0.703419328563212,0.174034904878176,1.66703691521812,1.00462407206911,710
"st[18]",-0.821590609635651,1.26317374761944,-3.55710405431949,-1.62417175696143,-0.712388809340354,0.0916392176228352,1.35126833157163,1.00548580078876,580
"st[19]",-0.776111194564248,1.27536862166348,-3.35310351114923,-1.63771573626977,-0.753214112515242,0.133522685452968,1.56861628304431,1.01042110581384,210
"st[20]",-0.570943072233146,1.33332469920731,-3.34480335238471,-1.45086565697947,-0.52599672915714,0.343079694954993,1.92678443788533,1.02333333511803,94
"st[21]",-0.842863109600769,1.26266928002737,-3.62740491301566,-1.61897840725493,-0.741268686049304,0.052419950189984,1.37649010771184,1.00401120422111,620
