Site_N,Point,X.84,Y.84
A17-21,8,121.4864861,23.96622778
A17-21,7,121.4883917,23.966675
A09-31,6,121.4902806,25.105275
A17-21,6,121.490375,23.96661667
A09-31,7,121.4905583,25.10333333
A04-37,9,121.4916639,25.23755833
A09-31,9,121.4925028,25.10083611
A17-21,4,121.4928917,23.96605278
A09-31,10,121.4944389,25.10166944
A17-21,3,121.4947528,23.96525278
A17-21,2,121.4950083,23.96292222
A08-01,1,121.519075,22.07988333
A08-01,2,121.5220639,22.08047778
A04-31,8,121.524964,24.979884
A08-01,3,121.5250056,22.07991944
A04-31,7,121.526824,24.979344
A04-31,6,121.52691,24.98096
A04-31,9,121.528191,24.977119
A08-01,4,121.5287056,22.07916667
A04-31,10,121.530424,24.975847
A08-01,5,121.5323028,22.07981389
A04-31,4,121.532738,24.98196
A08-01,6,121.5346972,22.08031111
A08-01,7,121.5366639,22.08008889
A08-02,6,121.5372972,22.07561667
A04-09,7,121.5376472,25.06512778
A04-09,8,121.5381139,25.06320278
A04-09,6,121.5382611,25.06759722
A08-02,5,121.5385694,22.07401389
A08-01,8,121.5386417,22.08066111
A08-02,4,121.5399694,22.07268056
A04-09,9,121.540225,25.06328611
A04-09,10,121.54085,25.06108889
A04-09,4,121.5408778,25.06508889
A04-09,5,121.5409278,25.06760833
A08-02,3,121.5416361,22.07236667
A08-02,1,121.541775,22.07582778
A08-02,2,121.54235,22.07405556
A04-09,2,121.543625,25.06341667
A04-09,3,121.5437361,25.06588889
A04-09,1,121.5463028,25.06337222
A08-04,8,121.5465778,22.02725
A08-04,7,121.5502778,22.02702778
A08-05,1,121.5519472,22.02797222
A08-05,2,121.5535667,22.02880556
A08-05,3,121.5554028,22.02956667
A08-05,4,121.5559222,22.03166944
A08-05,5,121.5569861,22.03343611
A08-04,6,121.5584889,22.02373056
A08-05,6,121.5585806,22.03480278
A08-04,5,121.560425,22.02336389
A08-05,7,121.5606167,22.03529444
A08-05,8,121.5628028,22.03478056
A08-05,9,121.5653972,22.03381389
A08-05,10,121.5656861,22.03588889
A08-03,5,121.5664167,22.07127222
A08-03,4,121.5664556,22.06901389
A08-03,6,121.5668306,22.07526389
A08-03,1,121.5674639,22.06189444
A08-03,7,121.5679528,22.07731944
A08-03,3,121.5679833,22.06516111
A08-03,8,121.5688694,22.07900278
A08-03,2,121.56905,22.06348889
A08-06,1,121.5695361,22.03731389
A08-07,5,121.5707111,22.03033611
A08-08,1,121.5710222,22.01425833
A08-04,4,121.571275,22.00469444
A08-04,3,121.5713333,22.00699722
A08-06,2,121.5716528,22.03622222
A08-08,2,121.5717861,22.01595556
A08-07,4,121.57255,22.03053889
A08-04,2,121.5726833,22.00575556
A08-06,3,121.5731778,22.03468056
A08-08,6,121.5734,22.02000278
A08-09,1,121.5734722,22.00936389
