Site_N,Point,Year,Survey,Macaca_sur,TypeName_O.x,Distance_O,X_new.x,Y_new.x,Do.survey,TypeName
A03-22,3,2015,1,0,闊葉樹林型,0,121.8126372,24.60081472,1,純闊葉林
A03-22,6,2015,1,0,闊葉樹林型,2.23855459,121.8141936,24.60757056,1,純闊葉林
A04-03,1,2015,1,0,針葉樹林型,1.23875,121.7719167,24.86905556,1,純針葉林
A04-03,2,2015,1,0,針葉樹林型,0,121.7741667,24.86955556,1,純針葉林
A04-03,3,2015,1,0,闊葉樹林型,0,121.7736389,24.87258333,1,純闊葉林
A04-03,4,2015,1,0,闊葉樹林型,1.91724318,121.7769722,24.87305556,1,純闊葉林
A04-03,5,2015,1,0,針葉樹林型,0,121.7753889,24.87466667,1,純針葉林
A04-03,6,2015,1,0,闊葉樹林型,2.24373808,121.7690556,24.87244444,1,純闊葉林
A04-03,7,2015,1,0,闊葉樹林型,1.46844145,121.7685,24.87027778,1,純闊葉林
A04-03,8,2015,1,0,闊葉樹林型,0,121.7658611,24.87322222,1,純闊葉林
A04-03,9,2015,1,0,闊葉樹林型,1.49320788,121.7660278,24.87122222,1,純闊葉林
A04-03,10,2015,1,0,闊葉樹林型,0,121.7636111,24.87091667,1,純闊葉林
A04-04,1,2015,1,0,闊葉樹林型,0,121.5248667,25.18946944,1,純闊葉林
A04-04,2,2015,1,0,闊葉樹林型,0,121.5244583,25.19135,1,純闊葉林
A04-04,3,2015,1,0,闊葉樹林型,0,121.524775,25.19334167,1,純闊葉林
A04-04,4,2015,1,0,闊葉樹林型,0,121.5235,25.19489167,1,純闊葉林
A04-04,5,2015,1,0,闊葉樹林型,0,121.5221389,25.19637778,1,純闊葉林
A04-04,6,2015,1,0,闊葉樹林型,0,121.5211917,25.19806667,1,純闊葉林
A04-05,1,2015,1,0,闊葉樹林型,0,121.5475,25.15916667,1,純闊葉林
A04-05,2,2015,1,0,闊葉樹林型,0,121.5500028,25.16083333,1,純闊葉林
A04-05,3,2015,1,0,闊葉樹林型,0,121.5569444,25.16222222,1,純闊葉林
A04-05,4,2015,1,0,闊葉樹林型,0,121.5524972,25.16361111,1,純闊葉林
A04-05,5,2015,1,0,闊葉樹林型,0,121.5552778,25.16444444,1,純闊葉林
A04-05,6,2015,1,0,闊葉樹林型,4.86626914,121.5575028,25.16361111,1,純闊葉林
A04-06,1,2015,1,0,闊葉樹林型,8.32376657,121.5880139,25.12467222,1,純闊葉林
A04-06,2,2015,1,0,闊葉樹林型,0,121.5893556,25.12675278,1,純闊葉林
A04-06,3,2015,1,0,闊葉樹林型,0,121.590425,25.13077778,1,純闊葉林
A04-06,4,2015,1,0,闊葉樹林型,0.6325208,121.5924083,25.132125,1,純闊葉林
A04-06,5,2015,1,0,闊葉樹林型,2.44288447,121.5995833,25.13522778,1,純闊葉林
A04-06,6,2015,1,0,闊葉樹林型,3.1547935,121.597225,25.132225,1,純闊葉林
A04-06,7,2015,1,0,闊葉樹林型,0.11928621,121.5960417,25.1296,1,純闊葉林
A04-06,8,2015,1,0,闊葉樹林型,3.31637876,121.5935083,25.12808056,1,純闊葉林
A04-06,9,2015,1,0,闊葉樹林型,1.44673166,121.5929333,25.12401944,1,純闊葉林
A04-06,10,2015,1,0,闊葉樹林型,0,121.5911528,25.12256944,1,純闊葉林
A04-10,3,2015,1,0,闊葉樹林型,14.9536432,121.6529,25.05687778,1,純闊葉林
A04-10,4,2015,1,0,闊葉樹林型,0,121.65255,25.05488333,1,純闊葉林
A04-10,5,2015,1,0,闊葉樹林型,0,121.6504222,25.05547778,1,純闊葉林
A04-10,6,2015,1,0,竹林,0,121.6504889,25.05351667,1,竹林
A04-17,1,2015,1,0,闊葉樹林型,0,121.52035,25.15195833,1,純闊葉林
A04-17,2,2015,1,0,闊葉樹林型,0,121.5199944,25.15423333,1,純闊葉林
A04-17,3,2015,1,0,闊葉樹林型,0,121.5179361,25.15565833,1,純闊葉林
A04-17,4,2015,1,0,闊葉樹林型,0,121.5173333,25.15794444,1,純闊葉林
A04-17,5,2015,1,0,闊葉樹林型,0,121.5147778,25.15706667,1,純闊葉林
A04-17,6,2015,1,0,闊葉樹林型,0,121.5122667,25.15628333,1,純闊葉林
A04-17,7,2015,1,0,闊葉樹林型,0,121.5114333,25.15391111,1,純闊葉林
A04-17,8,2015,1,0,闊葉樹林型,0,121.5130028,25.15208333,1,純闊葉林
A04-17,9,2015,1,0,闊葉樹林型,0,121.5134389,25.150075,1,純闊葉林
A04-18,1,2015,1,0,闊葉樹林型,2.28267437,121.4910028,25.15442222,1,純闊葉林
A04-18,3,2015,1,0,闊葉樹林型,16.63621516,121.4917278,25.14985,1,純闊葉林
A04-18,4,2015,1,0,闊葉樹林型,4.68417254,121.4923389,25.14847222,1,純闊葉林
A04-18,6,2015,1,0,闊葉樹林型,16.68045633,121.4940694,25.14828611,1,純闊葉林
A04-19,1,2015,1,0,闊葉樹林型,0,121.5347444,25.12917222,1,純闊葉林
A04-19,2,2015,1,0,闊葉樹林型,0,121.5355778,25.13196111,1,純闊葉林
A04-19,3,2015,1,0,闊葉樹林型,0.87517899,121.5358333,25.13319722,1,純闊葉林
A04-19,4,2015,1,0,闊葉樹林型,0,121.5345111,25.13485278,1,純闊葉林
A04-19,5,2015,1,0,闊葉樹林型,0,121.5355028,25.13705278,1,純闊葉林
A04-19,6,2015,1,0,闊葉樹林型,0,121.5383861,25.13882778,1,純闊葉林
A04-19,7,2015,1,0,闊葉樹林型,0,121.5406028,25.14013889,1,純闊葉林
A04-19,8,2015,1,0,闊葉樹林型,0,121.5406639,25.1312,1,純闊葉林
A04-19,9,2015,1,0,闊葉樹林型,0,121.5417861,25.13200833,1,純闊葉林
A04-19,10,2015,1,0,闊葉樹林型,0,121.5396278,25.13042778,1,純闊葉林
A04-20,1,2015,1,0,闊葉樹林型,0,121.520575,25.12999167,1,純闊葉林
A04-20,3,2015,1,0,闊葉樹林型,0,121.5190389,25.12806389,1,純闊葉林
A04-20,4,2015,1,0,闊葉樹林型,0,121.5193083,25.12602222,1,純闊葉林
A04-20,5,2015,1,0,闊葉樹林型,0,121.5202444,25.12445833,1,純闊葉林
A04-20,7,2015,1,0,闊葉樹林型,0.14177152,121.5171111,25.12456667,1,純闊葉林
A04-20,8,2015,1,0,闊葉樹林型,0,121.5168111,25.12615,1,純闊葉林
A04-20,9,2015,1,0,闊葉樹林型,0,121.5176111,25.1276,1,純闊葉林
A04-20,10,2015,1,0,闊葉樹林型,0,121.5181389,25.13076667,1,純闊葉林
A04-21,1,2015,1,0,闊葉樹林型,0,121.58775,25.08655556,1,純闊葉林
A04-21,2,2015,1,0,闊葉樹林型,0,121.5818333,25.08997222,1,純闊葉林
A04-21,3,2015,1,0,闊葉樹林型,6.3555468,121.5836389,25.08866667,1,純闊葉林
A04-21,4,2015,1,0,闊葉樹林型,0,121.5798611,25.08891667,1,純闊葉林
A04-21,5,2015,1,0,闊葉樹林型,0,121.5711667,25.08944444,1,純闊葉林
A04-21,6,2015,1,0,闊葉樹林型,0,121.5743056,25.09205556,1,純闊葉林
A04-21,7,2015,1,0,闊葉樹林型,0,121.57675,25.09263889,1,純闊葉林
A04-21,8,2015,1,0,闊葉樹林型,0,121.5713333,25.09322222,1,純闊葉林
A04-21,9,2015,1,0,闊葉樹林型,0,121.5697222,25.092,1,純闊葉林
A04-21,10,2015,1,0,闊葉樹林型,0,121.5679722,25.08925,1,純闊葉林
