nid,原始紀錄物種,數量,數量單位,觀測年,觀測月,觀測日,觀測時,觀測分,原始X座標,原始Y座標,經度(十進位),緯度(十進位),原始空間參考系統,樣區代碼,樣點代號,地點,記錄者,觀測方式,照片檔名
23064098,臺灣獼猴,1,群,2024,3,21,9,18,308202,2639766,121.5714393,23.86117317,TWD97,MA-G28-05,2,嶺頂路207,倪東正,人為觀測,
23064099,臺灣獼猴,1,群,2024,3,27,9,4,307295,2640471,121.562562,23.86757161,TWD97,MA-G28-06,1,月眉208卡箱,呂溱甄,人為觀測,
23064100,臺灣獼猴,1,群,2024,3,27,9,29,307294,2640021,121.5625346,23.86350847,TWD97,MA-G28-06,4,月眉208卡箱,呂溱甄,人為觀測,
23064101,臺灣獼猴,1,群,2024,3,26,9,27,304695,2616981,121.5361647,23.65556075,TWD97,MA-G30-11,6,新社產業道路梳子壩,汪秀琴,人為觀測,
23064102,臺灣獼猴,1,群,2024,3,25,9,53,243694,2499313,120.9386674,22.59386456,TWD97,MA-H31-01,5,大武1林班麻林道,李佶霖;古財旺,人為觀測,
23064103,臺灣獼猴,1,群,2024,3,12,9,36,239568,2490689,120.8985946,22.51595893,TWD97,MA-H31-03,4,大武21林班金崙溪流域,張廣明;古財旺,人為觀測,
23064104,臺灣獼猴,1,群,2024,3,27,10,36,236002,2473074,120.864086,22.35684619,TWD97,MA-H31-09,4,大武44林班加拉板溪,白俊偉,人為觀測,
23064105,臺灣獼猴,1,群,2024,3,21,10,4,235147,2468687,120.8558251,22.31721801,TWD97,MA-H31-10,2,保安林2520,白俊偉,人為觀測,
23064106,臺灣獼猴,1,群,2024,3,12,9,50,233225,2468618,120.8371694,22.31657718,TWD97,MA-H31-13,4,安朔段,張煌洲,人為觀測,
23064107,臺灣獼猴,1,群,2024,3,25,10,27,233440,2461341,120.8393315,22.25085698,TWD97,MA-H31-15,3,大武48林班,郝富貴,人為觀測,
23064108,臺灣獼猴,1,群,2024,3,28,10,38,270031,2540129,121.1953466,22.9623648,TWD97,MA-H33-12,6,寶華,周福安,人為觀測,
23064109,臺灣獼猴,1,群,2024,3,30,8,6,274143,2551927,121.2356325,23.06885385,TWD97,MA-H33-14,7,富興山棕寮,林國欽,人為觀測,
23064110,臺灣獼猴,1,群,2024,4,2,8,58,254001,2530027,121.0389926,22.87125086,TWD97,MA-H33-15,7,台東縣內本鹿古道※,羅俊偉;江元榮,人為觀測,
23064111,臺灣獼猴,1,群,2024,3,5,9,54,279351,2540397,121.2862416,22.96464702,TWD97,MA-H34-01,1,成功事業區13林班,王志誠;張恩賜,人為觀測,
23064112,臺灣獼猴,1,群,2024,3,5,10,4,278510,2551117,121.2782384,23.06146981,TWD97,MA-H34-04,4,成功事業區30林班,楊倍航;孔淵,人為觀測,
23064113,臺灣獼猴,1,群,2024,3,27,8,54,288724,2569212,121.3783771,23.22466757,TWD97,MA-H34-08,5,成功事業區47林班,羅聰明,人為觀測,
23064114,臺灣獼猴,1,群,2024,3,27,10,15,289112,2573000,121.3822656,23.25886502,TWD97,MA-H34-09,1,成功事業區49林班,鄧智文,人為觀測,
23064115,臺灣獼猴,1,群,2024,4,22,10,32,296494,2726348,121.45929,24.64330475,TWD97,MB-A01-03,1,明池,賴伯書,人為觀測,
23064116,臺灣獼猴,1,群,2024,4,22,9,23,297111,2726731,121.4653976,24.64674393,TWD97,MB-A01-03,6,明池,賴伯書,人為觀測,
23064117,臺灣獼猴,1,群,2024,4,25,9,46,282184,2693550,121.3171873,24.3475419,TWD97,MB-C10-09,2,甲區38林班,史強勳;江逸瑄,人為觀測,
23064118,臺灣獼猴,1,群,2024,4,9,9,55,249461,2683934,120.9946915,24.26104846,TWD97,MB-C11-02,1,220林道,蕭明泉;梁盛棟,人為觀測,
23064119,臺灣獼猴,1,群,2024,4,11,10,51,243707,2680817,120.9380352,24.23289166,TWD97,MB-C11-04,7,橫嶺山,梁盛棟,人為觀測,
23064120,臺灣獼猴,1,群,2024,4,12,8,16,248366,2684443,120.9839065,24.2656436,TWD97,MB-C11-11,10,大雪山210林道B※,楊景文,人為觀測,
23064121,臺灣獼猴,1,群,2024,4,12,6,53,247900,2683023,120.9793189,24.25282148,TWD97,MB-C11-11,5,大雪山210林道B※,楊景文,人為觀測,
23064122,臺灣獼猴,1,群,2024,4,17,6,45,254450,2630655,121.0436643,23.77995679,TWD97,MB-D14-02,5,二分所,簡俊溢,人為觀測,
23064123,臺灣獼猴,1,群,2024,4,23,9,13,235350,2597376,120.8565789,23.47938724,TWD97,MB-E20-04,1,台18-4(98K),陳盈達,人為觀測,
23064124,臺灣獼猴,1,群,2024,4,25,7,35,231454,2599418,120.8184126,23.49778701,TWD97,MB-E20-13,5,小笠原山(下方平台旁),翁秀訓,人為觀測,
23064125,臺灣獼猴,1,群,2024,4,10,10,26,213652,2588496,120.644376,23.3988602,TWD97,MB-E22-01,6,龍美,許宏成,人為觀測,
23064126,臺灣獼猴,1,群,2024,4,23,7,1,225098,2551998,120.7569587,23.06948381,TWD97,MB-F23-08,1,藤枝遊樂區,鍾魏任,人為觀測,
23064127,臺灣獼猴,1,群,2024,4,23,6,0,225115,2552245,120.7571206,23.07171461,TWD97,MB-F23-08,2,藤枝遊樂區,鍾魏任,人為觀測,
23064128,臺灣獼猴,1,群,2024,3,8,8,45,220514,2571455,120.7118441,23.24511399,TWD97,MB-F24-01,4,瑪雅,葉建緯,人為觀測,
23064129,臺灣獼猴,1,群,2024,4,23,8,52,290298,2634812,121.3955224,23.81699271,TWD97,MB-G30-01,4,西林林道18k+800,吳明澤,人為觀測,
23064130,臺灣獼猴,1,群,2024,4,18,10,25,253032,2523106,121.0295355,22.80874992,TWD97,MB-H32-05,1,台東7林班利嘉林道,吳清良;尤如成,人為觀測,
23064131,臺灣獼猴,1,群,2024,4,18,9,40,253560,2522962,121.0346786,22.80744843,TWD97,MB-H32-05,6,台東7林班利嘉林道,吳清良;尤如成,人為觀測,
23064132,臺灣獼猴,1,群,2024,4,2,8,39,263826,2551587,121.1349372,23.0659015,TWD97,MB-H33-06,1,紅石林道,李律論;邱約德,人為觀測,
23064133,臺灣獼猴,1,群,2024,4,2,8,49,263910,2551879,121.1357596,23.06853774,TWD97,MB-H33-06,2,紅石林道,李律論;邱約德,人為觀測,
23064134,臺灣獼猴,1,群,2024,5,29,10,15,301314,2715672,121.5065148,24.54676331,TWD97,MA-A01-02,3,仁澤A,江誼哲,人為觀測,
23064135,臺灣獼猴,1,群,2024,5,9,9,43,320721,2744832,121.6995367,24.80925744,TWD97,MA-A04-01,2,宜30,林俊仁,人為觀測,
23064136,臺灣獼猴,1,群,2024,5,30,10,5,323627,2690082,121.7254295,24.31482738,TWD97,MA-A05-01,2,和區2林班,豊啟恩,人為觀測,
23064137,臺灣獼猴,1,群,2024,5,21,9,7,326197,2691499,121.7508247,24.32749757,TWD97,MA-A05-03,6,和區88林班,戴祺芳,人為觀測,
23064138,臺灣獼猴,1,群,2024,5,14,9,48,244128,2691565,120.9421367,24.32993957,TWD97,MA-C12-09,5,安區115林班,唐新添;葉飛;松樵榕;陳映璇,人為觀測,
23064139,臺灣獼猴,1,群,2024,5,9,9,0,231432,2671267,120.8172911,24.14656458,TWD97,MA-C12-12,6,水底寮,林祐辰;洪聖恩,人為觀測,
23064140,臺灣獼猴,1,群,2024,5,14,8,26,241300,2635253,120.9146067,23.82145839,TWD97,MA-D14-07,6,巒大25林班,陳杏如,人為觀測,
23064141,臺灣獼猴,1,群,2024,5,21,9,10,234272,2621875,120.8457671,23.70060375,TWD97,MA-D15-05,3,白不仔溪橋,賴文錦,人為觀測,
23064142,臺灣獼猴,1,群,2024,5,21,9,19,234260,2622182,120.8456462,23.70337581,TWD97,MA-D15-05,4,白不仔溪橋,賴文錦,人為觀測,
23064143,臺灣獼猴,1,群,2024,5,30,9,39,232453,2658912,120.8274871,24.03501767,TWD97,MA-D16-01,5,菩提寺,張永宏,人為觀測,
23064144,臺灣獼猴,1,群,2024,5,27,9,1,240483,2661889,120.9064143,24.06196709,TWD97,MA-D16-06,1,國姓埔源,施瑞森,人為觀測,
23064145,臺灣獼猴,1,群,2024,3,19,9,11,216099,2616372,120.6676854,23.65063259,TWD97,MA-D18-04,4,勞水坑,楊松翰,人為觀測,
23064146,臺灣獼猴,1,群,2024,5,30,9,11,200542,2558574,120.517087,23.12831675,TWD97,MA-E19-15,7,龜丹溫泉,林墩奕,人為觀測,
23064147,臺灣獼猴,1,群,2024,5,28,9,36,213229,2584509,120.6403346,23.36284764,TWD97,MA-E22-03,6,隙頂國小草山分校,許宏成,人為觀測,
23064148,臺灣獼猴,1,群,2024,5,24,10,16,204736,2581604,120.5573514,23.33640234,TWD97,MA-E22-06,2,大埔事業區39林班,覃祥輝,人為觀測,
23064149,臺灣獼猴,1,群,2024,5,20,10,14,213258,2528899,120.6419525,22.86066602,TWD97,MA-F25-01,4,大津瀑布(慈津保宮),富張曜驛;李明穎,人為觀測,
23064150,臺灣獼猴,1,群,2024,5,13,9,39,219050,2518155,120.6986079,22.76375582,TWD97,MA-F25-02,3,觀望山,朱義雄;王聖捷,人為觀測,
23064151,臺灣獼猴,1,群,2024,5,20,9,52,216716,2524381,120.6757467,22.81993724,TWD97,MA-F25-03,2,沙溪林道,朱義雄;王聖捷,人為觀測,
23064152,臺灣獼猴,1,群,2024,5,20,10,12,216975,2524183,120.678274,22.81815425,TWD97,MA-F25-03,4,沙溪林道,朱義雄;王聖捷,人為觀測,
23064153,臺灣獼猴,1,群,2024,5,22,9,52,221934,2463714,120.7276572,22.27213997,TWD97,MA-F25-08,5,枋山溪管制站,張詒賓,人為觀測,
23064154,臺灣獼猴,1,群,2024,5,22,10,13,223081,2463930,120.7387836,22.27410905,TWD97,MA-F25-08,7,枋山溪管制站,張詒賓,人為觀測,
23064155,臺灣獼猴,1,群,2024,5,8,10,16,224069,2455630,120.7485046,22.19916267,TWD97,MA-F25-10,1,丹路,林明坤;徐守俊,人為觀測,
23064156,臺灣獼猴,1,群,2024,5,8,10,7,224440,2455785,120.7521003,22.20056808,TWD97,MA-F25-10,10,丹路,林明坤;徐守俊,人為觀測,
23064157,臺灣獼猴,1,群,2024,5,8,10,39,223978,2454988,120.7476324,22.19336305,TWD97,MA-F25-10,4,丹路,林明坤;徐守俊,人為觀測,
23064158,臺灣獼猴,1,群,2024,5,23,10,26,220264,2451197,120.7116833,22.15906466,TWD97,MA-F25-11,3,竹坑,林明坤;徐守俊,人為觀測,
23064159,臺灣獼猴,1,群,2024,5,22,10,44,230038,2428568,120.8067283,21.95482537,TWD97,MA-F26-01,5,墾丁苗圃,何芫薇,人為觀測,
