"樣區編號","樣區名稱","樣點編號","TWD97_X","TWD97_Y"
"MA-A03-07","台北縣坪林台灣油杉自然保留區※","5","318301","2755783"
"MA-A03-07","台北縣坪林台灣油杉自然保留區※","7","318417","2755236"
"MA-A03-07","台北縣坪林台灣油杉自然保留區※","8","318293","2755062"
"MA-A03-07","台北縣坪林台灣油杉自然保留區※","9","318049","2754859"
"MA-A03-07","台北縣坪林台灣油杉自然保留區※","10","317942","2754484"
"MA-A03-07","台北縣坪林台灣油杉自然保留區※","6","318341","2755438"
"MA-A03-08","雙溪泰平","1","332701","2763339"
"MA-A03-08","雙溪泰平","2","332467","2763050"
"MA-A03-08","雙溪泰平","3","331991","2763213"
"MA-A03-08","雙溪泰平","4","331934","2763440"
"MA-A03-08","雙溪泰平","5","331932","2762880"
"MA-A03-08","雙溪泰平","6","331832","2762690"
"MA-A03-08","雙溪泰平","7","332166","2762766"
"MA-A04-01","宜30","1","320890","2744996"
"MA-A04-01","宜30","2","320721","2744832"
"MA-A04-01","宜30","3","320502","2744914"
"MA-A04-01","宜30","4","320404","2744680"
"MA-A04-01","宜30","5","320209","2744803"
"MA-A04-02","宜40","1","317075","2738603"
"MA-A04-02","宜40","2","316847","2738686"
"MA-A04-02","宜40","3","316938","2738888"
"MA-A04-02","宜40","4","316942","2739124"
"MA-A04-02","宜40","5","316612","2738618"
"MA-A04-02","宜40","6","316378","2738782"
"MA-A04-03","宜52","2","312975","2739141"
"MA-A04-03","宜52","3","312814","2738914"
"MA-A04-03","宜52","4","312605","2739001"
"MA-A04-03","宜52","5","312374","2739067"
"MA-A04-03","宜52","6","312075","2739120"
"MA-A04-03","宜52","1","313030","2738773"
"MA-A04-04","宜64","1","314761","2734510"
"MA-A04-04","宜64","3","314799","2734959"
"MA-A04-04","宜64","4","314693","2735113"
"MA-A04-04","宜64","5","314454","2735240"
"MA-A04-05","文41","1","328840","2752098"
"MA-A04-05","文41","2","329062","2752217"
"MA-A04-05","文41","3","329236","2752406"
"MA-A04-05","文41","4","329140","2752615"
"MA-A04-05","文41","5","329114","2752871"
"MA-A04-05","文41","6","329073","2753188"
"MA-A04-06","聖母登山步道","1","324293","2749041"
"MA-A04-06","聖母登山步道","2","324293","2749216"
"MA-A04-06","聖母登山步道","3","324283","2749402"
"MA-A04-06","聖母登山步道","5","324001","2749740"
"MA-A04-06","聖母登山步道","4","324059","2749560"
"MA-A04-06","聖母登山步道","6","323851","2749930"
